Chest,Waist,Pelvis,Bicep,Thigh,Shoulder to wrist,Leg,Calf,Wrist,Shoulder to shoulder
1.7355728,15.6670685,29.546288,8.367275,13.409172,3.934822,9.285568,6.1572,2.6986475,0.93574524
0.9805603,8.900833,24.285187,7.399639,12.353226,0.2776718,1.2471313,3.1070862,3.3967352,0.62887573
0.66841125,13.172249,28.94339,8.561291,12.745285,3.0629883,7.096573,5.8907547,3.2162237,0.8424759
4.6947174,12.230713,29.545212,6.3517876,10.3927765,2.3522758,11.853447,6.814842,0.8432455,2.1332397
0.6245575,9.829781,21.862907,7.2433777,9.237968,1.0906296,1.8155289,3.4574127,2.5342531,3.5221634
0.593277,10.854263,30.334053,9.605225,15.7818985,7.55019,10.179962,8.052231,2.8674955,3.9041405
3.4266434,15.577126,30.217873,8.413204,10.256317,4.08741,13.074463,8.073959,2.7456388,2.8444824
3.6792831,17.354774,35.87127,9.998112,16.170967,5.550049,15.106735,9.023106,3.4120665,3.227684
1.9530716,11.0705185,27.375229,9.475941,14.849251,5.2928467,4.6003723,5.1297646,2.6380167,4.3070793
6.18351,3.125328,17.879898,5.3063946,3.78471,0.34848785,5.8141785,5.0327187,1.8599749,0.9487915
2.4991074,12.546059,27.30294,8.726353,14.349266,7.635948,8.060875,6.5737877,2.6121569,3.99292
1.462822,14.414574,26.887917,9.003304,14.405617,6.997673,6.5479126,6.025528,3.1300402,4.467949
3.3514633,19.932236,40.296394,11.672123,24.573952,0.39640045,5.486511,5.633354,3.2571497,1.6264267
3.678917,18.484993,32.119896,8.612282,15.812019,3.6300316,9.4628525,6.3473167,2.8321848,1.9658127
1.2180862,17.089012,37.527565,10.715187,21.749855,0.32881927,6.767044,5.92511,3.0580702,0.9743118
6.068901,11.119736,29.342926,8.9675255,17.910614,2.6216812,0.8653946,2.2895775,0.96153736,1.4801674
5.724144,9.916115,30.122307,6.8969383,13.010872,1.3746948,10.565338,7.007225,1.2465677,1.089695
12.839745,8.087196,20.240242,5.152132,6.3867035,4.514015,0.831192,2.5304108,1.5717545,2.6417122
2.8039474,10.808762,32.265755,9.81575,18.610771,0.64517975,0.44511414,1.6748276,1.7106504,0.09132004
12.475922,30.826256,38.621254,14.1936,24.238945,0.088703156,2.2674103,4.311573,1.5766306,0.5646744
6.0650787,22.12732,23.11618,11.22842,16.229637,2.411766,2.6193085,1.6505508,3.0271463,0.7263832
3.9945374,11.4526825,17.316605,7.276638,12.186714,5.1771355,5.3198547,0.261158,2.6484308,2.2334137
3.2115555,16.03946,22.242851,10.483765,14.944878,3.515892,3.474228,0.8449173,2.3514853,1.7548637
11.785851,28.214981,37.945427,13.194679,22.045326,3.698635,7.91304,6.1938477,2.9848146,3.3345413
10.196327,23.00875,26.563255,10.962692,16.704124,3.974022,4.345108,4.839176,2.790166,4.871155
21.352074,3.2847824,4.287262,1.3425884,2.9171867,2.6457863,0.8106842,1.2268829,2.9039059,5.4524574
22.842155,40.482796,53.143715,15.468567,26.735817,20.315716,29.690445,16.108246,4.908078,15.028328
20.272232,5.3719864,2.8647232,0.29898834,1.4124985,2.099266,4.3672943,0.59373474,2.9664822,4.8479385
0.15383148,10.136658,17.03012,1.5490532,5.4637947,7.422207,4.831276,3.8942528,0.0030231476,4.768902
17.188728,28.695427,28.049889,8.148212,13.716515,13.787144,11.522453,7.9514923,2.5257816,7.463684
7.936943,17.5057,21.707588,4.1918488,7.5339775,9.678329,8.052002,5.552952,1.9876328,5.000004
0.12036133,10.463013,18.194939,1.9611053,5.904621,7.25441,4.778343,3.3141823,0.1734066,4.774723
2.4093628,9.367577,13.785812,1.0328217,1.3423004,0.9479904,0.6557236,4.912731,1.9743233,1.8241158
4.7188797,12.620796,27.039589,5.4348774,10.51194,2.8540077,1.6167374,5.4579887,0.32950974,4.474491
0.91521454,11.423302,19.332504,4.4527187,5.51458,3.6537971,3.4915085,6.58617,0.49370193,5.188175
2.4201202,11.993942,21.106491,3.3354702,4.4624405,3.11652,3.6636276,6.5580025,0.8269386,3.9001465
11.814682,3.0849533,7.010109,0.21556854,1.3458824,1.1045952,5.958824,1.8558655,1.4654026,2.3758583
0.91025543,6.815422,16.5318,3.7770405,3.8501854,2.004902,1.8786545,3.9984055,1.0771923,3.034748
4.3169556,2.5645523,13.64682,1.174036,0.6952286,2.8231468,1.6550217,4.5720825,1.5723591,4.1552773
10.168358,19.389542,15.178764,3.462389,3.5742455,1.6867256,1.6758118,4.122734,0.4581089,2.6172218
3.130661,6.7682495,20.188133,0.7758293,3.7301102,0.77835083,0.8720169,5.1246834,0.76439667,3.1052055
0.51763153,12.641861,20.715538,3.2838993,5.8452682,3.195713,0.64281464,4.4290924,0.76124,1.7309189
2.9164963,13.936554,17.24231,3.4254475,3.2094688,2.1296196,1.1785431,5.0643387,1.6049576,0.489254
1.2083588,8.88636,11.87886,1.5881577,1.7637749,1.7321739,1.35643,4.9277496,1.205574,4.139221
7.8267365,7.9260178,12.974098,2.0370522,4.6307564,0.20382309,1.9445648,3.2698898,0.45207787,2.9356003
15.699631,3.9179459,14.030174,1.1013374,1.2585793,0.75790787,4.79805,2.6538887,1.7270565,0.07542801
20.394531,9.823677,5.100052,3.7531967,5.650936,2.4758644,8.534317,1.7642326,3.4843273,1.4905777
16.014427,9.631233,4.209793,2.7240982,4.204296,0.7332039,7.5300827,1.9452858,1.582675,1.9329071
16.987335,2.2734451,4.906601,4.510906,11.1207695,1.4122124,6.5666733,1.6552391,1.7703066,3.1404686
16.079803,2.000908,2.4463654,5.637043,8.751675,0.9172783,9.237358,0.35400772,2.5431232,1.3238411
13.744225,4.9342804,7.4102325,0.82473373,2.3539162,0.6828575,3.561699,2.9334412,1.2769566,1.1009941
0.56752014,3.366043,18.169868,5.4610863,8.467522,2.019806,5.3387527,7.1107635,1.8276348,1.4989586
14.225792,25.930984,21.815308,9.1598625,3.4660454,3.887764,10.608086,10.460701,2.7711296,2.033165
2.359253,0.010231018,13.291229,5.1476803,6.2723427,1.3134232,0.38278198,6.605133,0.6075897,3.1637993
7.543152,9.3706665,14.604721,5.992058,4.5129967,0.83406067,0.1171875,5.5770416,1.4140816,4.39579
3.5235138,4.0139008,12.777237,3.719284,2.7223854,2.416542,0.16934967,4.8782883,0.36761665,0.88399124
2.9289474,0.11613464,18.982338,4.520731,7.193775,1.0623131,2.8024368,7.1968536,0.015691757,2.5860367
5.7912292,6.112068,12.441696,4.1889915,1.6433983,2.3544693,1.5961456,6.394333,1.0721989,0.13962936
5.6499023,7.2190857,17.95234,4.8066006,5.461315,2.2210312,1.8531799,6.2907333,0.5400753,0.10002518
3.8576355,0.039131165,15.114311,3.176094,6.5663605,3.8730164,0.63840485,6.587944,0.4255886,1.6522255
6.466591,9.345688,19.624817,5.5773525,7.542759,5.1976395,3.354538,7.8074493,0.60473824,5.576229
3.3552551,0.9913864,18.15068,3.515665,7.432289,6.9798546,3.1595306,8.173485,0.3820877,4.1883354
7.3997116,6.4842834,21.87989,7.04681,9.554188,8.036507,6.97863,10.137344,1.1795368,6.5620384
12.075455,10.471718,9.285568,2.1211472,1.8811531,8.140244,12.267006,0.9233055,1.6229744,0.46487427
4.416748,10.749649,17.00322,4.323839,3.199318,0.548336,2.9168015,6.83762,3.0865555,1.7564926
4.782242,16.821693,24.296394,7.3125935,7.039154,0.060459137,0.2732849,7.860359,2.3612251,5.3055916
12.588661,26.497612,31.879715,9.629007,15.037128,7.6246185,5.3661346,13.532845,4.2792473,7.359024
3.9879684,11.342155,11.834808,0.6078701,2.4523315,2.992958,3.580696,5.6164665,2.7902355,0.19034195
2.685257,11.025604,16.382858,1.7273865,1.355545,3.4054794,2.712967,5.9658966,2.1045074,0.2884369
0.80150604,8.312325,17.434845,4.697447,1.3706512,4.1999397,0.4076767,8.239246,1.4732208,0.31107712
0.49848175,11.116646,13.794716,1.9654217,1.3993759,1.3353882,0.27641296,7.4606094,2.212925,0.44381332
0.23755646,10.317802,16.373718,5.614382,3.3983269,5.006813,4.912796,5.7158127,0.05609131,2.6343803
5.8062973,14.918152,26.466766,8.722448,8.946453,3.2230682,0.4995575,7.8301506,2.1780071,1.8616829
0.35997772,10.963188,25.14296,5.951185,5.8664703,0.7218704,2.2814636,9.229904,0.9833374,0.95446396
9.598427,8.516396,14.177689,0.61652374,4.657051,2.2608604,3.6686554,5.0665817,0.6220913,0.6912308
35.220627,17.808975,29.225746,10.890928,25.210758,11.809078,20.264091,3.292595,0.21092224,9.440971
12.266296,6.2306595,10.235199,3.652275,2.6925125,1.7116356,8.613777,2.7177887,3.832796,0.52508163
32.520683,13.958801,32.639008,10.527634,25.085464,8.565548,20.756805,3.011219,0.79590416,6.066414
3.7045135,13.841545,23.950546,8.6655655,9.056465,3.3543282,3.0546265,5.938263,4.7822742,2.333187
