Chest,Waist,Pelvis,Bicep,Thigh,Shoulder to wrist,Leg,Calf,Wrist,Shoulder to shoulder
2.4388123,6.8547363,28.629242,8.238525,6.272251,4.648899,15.483902,9.423534,3.711238,3.7798347
17.644257,17.881828,26.7966,11.983288,6.7943726,4.6977005,13.1590805,8.7259865,5.282233,3.8534164
11.999718,12.604012,25.553864,8.850693,2.6541977,4.00436,12.35228,8.302563,4.274808,3.5991325
0.13201904,19.357994,38.575798,10.979122,13.409317,10.4506645,20.117058,12.136856,5.1705217,0.32730103
16.591293,23.40931,26.959503,12.65007,12.015968,10.222534,12.518829,8.467533,6.8235083,5.4375305
8.850616,23.59343,35.541176,14.017277,17.701614,9.656342,14.829697,10.615429,7.0168905,7.629017
7.922516,13.603874,20.628448,11.655231,5.7647552,8.279602,13.397148,8.344276,5.775674,6.240692
7.8678513,13.814049,23.232925,11.3563385,8.153236,10.912025,14.073799,9.862095,6.1244974,7.0296173
9.633209,18.60334,23.279587,12.164661,9.423504,11.526844,13.229538,9.923065,6.6799383,8.10228
1.6899185,9.222931,14.387543,8.362045,2.850235,5.285885,12.000412,7.888714,4.560981,4.413845
8.476677,18.416473,26.269157,12.723644,10.7738495,9.57114,13.273178,9.554264,7.035039,8.821957
9.61969,18.551804,27.030434,14.039715,11.086563,12.502087,16.424927,11.601734,7.529546,9.221413
10.483719,15.130028,41.82949,12.764931,11.25045,4.731369,18.95015,11.718441,6.1104803,0.9256172
2.4934616,7.5244904,29.958946,9.001762,9.044472,6.2809105,16.281525,10.46648,3.4461718,1.5486603
7.814705,12.581131,38.405373,11.480694,11.420906,4.6937714,15.8521805,9.79932,4.9097586,2.2189674
4.1535187,10.589836,31.021736,8.959713,10.406696,7.070469,12.25592,8.492569,5.4034796,3.5158653
4.241722,4.079132,33.169044,9.235191,8.691231,6.7973747,14.981995,8.887096,3.6539793,1.8021469
10.499329,0.30295563,16.334991,3.6439495,6.845726,8.26318,9.333656,6.1635857,2.389224,1.6125069
9.865494,15.540611,23.829063,9.338764,7.966835,11.64809,13.316826,8.765125,5.5444746,7.1112976
18.09349,24.985298,41.38038,14.960651,16.19175,7.7587204,10.269211,7.2913246,6.7369566,2.6095657
1.6484528,15.97657,29.917984,12.071861,8.985352,4.2657967,0.82670593,4.41613,12.93715,2.0283585
1.1445923,12.303337,27.396729,11.617069,10.369274,3.226986,0.33278656,3.252308,10.770581,0.970356
3.3097534,15.437393,37.07099,13.495262,16.172836,5.7758904,2.1855469,3.3659897,9.990508,3.2146645
8.3678055,18.253838,34.828484,13.88607,18.486145,12.4740715,11.48053,8.22105,5.023875,7.241894
28.6492,35.89245,34.55294,11.9206505,11.90781,12.036465,14.750793,11.52145,4.593892,10.770367
2.888794,0.26874542,13.688271,0.344244,4.653187,13.943993,11.193916,6.7754936,3.2515821,2.9045868
36.395325,39.959282,57.957436,14.594635,34.798576,30.374065,35.1315,22.142742,6.077052,14.548809
6.686775,3.8354568,12.765648,0.5125828,3.743103,14.035656,13.36882,8.048027,3.384471,4.5162544
5.6059265,4.0933533,19.10572,2.7086487,7.7024803,11.226696,11.977806,6.6576614,2.1820831,5.3263702
