Chest,Waist,Pelvis,Bicep,Thigh,Shoulder to wrist,Leg,Calf,Wrist,Shoulder to shoulder
8.900795,6.9169464,4.116371,1.3986301,0.020404816,0.58397675,0.31763458,1.5565681,0.08627415,2.3610039
8.5317,3.1732407,0.6542053,2.3482132,0.013782501,0.010494232,2.6105652,0.04100418,0.9771166,1.7027016
5.822075,5.575859,1.057579,2.9518967,0.2719345,1.6093292,5.9580536,3.0078087,0.57483387,2.6669388
0.89255524,0.41075897,3.6353073,3.0736656,2.6860237,2.6980171,5.4933395,0.2568512,0.7207556,0.9172821
1.9712143,4.6115875,3.5302658,3.1129932,1.8706474,2.2277641,4.294037,1.9076614,0.8383293,1.019886
3.0630646,0.7785034,2.716301,3.012783,1.4519768,0.26963043,2.7965164,3.136963,0.5894823,1.3902092
0.41416168,1.5353928,0.31732178,2.2506905,1.3626747,2.9190636,5.1163177,1.5707703,1.0303144,0.27138138
1.0392609,1.3251724,1.7775955,3.9035816,4.0376244,4.0208015,6.2169113,0.8574524,0.2897892,0.628788
3.0730057,0.42887878,0.011909485,0.8765335,0.09382248,1.7296295,5.247902,1.5383949,0.0010690689,1.1717567
1.2036285,4.736183,4.004837,5.9886475,1.5969696,2.1078453,4.9952774,0.3834648,1.3911619,1.0835915
3.9333649,0.7609787,0.059188843,1.7803574,2.914669,2.012226,4.7114334,0.27581024,0.062405586,1.0343513
0.27606964,3.1285324,4.4852676,3.7215462,4.478752,1.5397186,4.1165543,1.2224503,0.07548237,0.068912506
1.4141846,1.3368607,1.527504,3.7030907,4.490734,0.9770851,2.0341034,1.0571327,2.3239584,0.5541458
0.0002670288,3.468773,2.8522568,3.3354912,3.1242218,3.0210533,3.9010773,1.0982285,2.0688658,3.754139
2.2780457,1.9001846,3.5334244,1.8344593,2.5068016,2.5927925,3.1824646,0.4396782,1.6998205,0.26699448
4.244911,2.0166092,2.155304,0.9290104,3.0534935,1.1215324,4.275894,1.9406319,2.4528837,3.3946419
4.6733932,1.4432144,3.6401901,0.6760521,1.5178108,1.2497673,0.23288727,0.1341095,1.9692068,0.42676544
4.786255,1.1199036,1.6141434,2.912672,0.9529419,4.730831,4.7781906,0.56279373,1.5095816,1.6803551
2.52771,2.1924515,1.6464386,3.1002483,1.8217125,0.71372604,2.1576843,2.2724075,1.2655363,0.1809578
3.0434494,1.2439041,3.8359375,2.3142471,3.3024826,1.911583,0.29413605,3.0630264,0.863616,0.091602325
0.52957153,6.2892838,1.1290588,5.6190567,6.8549843,1.1987343,2.274704,0.5784073,0.88288975,0.5450287
3.1695328,0.6098175,3.6138,1.1333313,1.1440849,0.65050125,2.2141724,0.028869629,0.21453571,0.0521698
4.934746,1.4483719,0.6680069,0.5070324,5.3016014,1.2545891,1.9158859,2.0601578,0.9646063,1.5107079
1.4917297,6.474968,0.57886505,5.417759,3.8146324,0.46291733,1.940773,1.7050133,0.041311264,0.4123726
1.9302673,4.2136154,1.353363,0.19416428,1.4309044,0.29479218,2.6364136,2.3552246,0.7275038,2.3427505
1.0035782,5.016777,5.8127823,3.6582317,0.57785416,2.250225,2.9024506,0.29880524,0.37109947,0.20241928
3.8265991,1.6994247,3.6909256,6.686123,2.0567055,1.1055717,1.5757446,0.2623787,0.17492104,0.33668137
2.6318817,4.263298,0.33701324,0.49886322,3.4632225,1.2326851,1.6164169,1.5177155,1.1584387,0.22022629
4.780121,3.8470154,1.7534103,6.1038666,3.3102837,1.0590858,1.0987396,0.2227211,0.64258575,1.667305
2.3069534,1.6915131,0.13988495,1.9376526,3.4505348,2.1685104,0.005882263,0.6073952,0.91760635,1.7031975
3.5525818,7.8817596,4.3602676,4.520832,4.510666,1.6437607,0.82458496,0.9569664,0.34441757,1.1840668
0.7298813,5.627548,1.1824646,2.062828,0.0032653809,0.16092682,3.302948,1.2470207,0.28340912,0.51301575
5.871361,0.97026825,0.89273834,0.80714417,2.5052223,0.76127625,2.1867447,3.2461014,1.6542387,1.5100746
2.1577225,0.221138,0.9119339,0.04027939,0.7525673,2.547699,4.7517014,0.9543419,1.4855814,1.1547241
0.081703186,1.7971802,1.2312088,0.24957085,1.9571037,0.88362885,3.126793,0.7888527,1.6544762,1.2153168
1.356102,1.2334824,0.041618347,0.51327133,0.05367279,1.8012238,0.51657104,0.20635605,0.44304276,1.0565414
4.7152557,3.9325943,5.2186813,1.6417828,2.0064735,0.43034744,2.5828857,0.31266022,1.1614895,0.7356949
5.1509094,1.3107376,1.3233109,1.6720333,1.9561958,0.5266609,1.7180634,0.80215836,1.5459995,1.0408096
4.5512314,1.5660172,3.1273575,2.1132603,0.7354088,1.4420624,4.6530457,0.16004944,0.653532,1.2968445
2.3462524,2.7469482,1.9229889,3.1511364,0.6469841,2.483017,4.158699,0.67866135,0.09574318,1.4871597
1.1896896,1.8494186,4.060379,1.1783848,0.50175095,1.5134201,0.9602661,3.34618,0.3804016,1.4297562
7.503723,1.8793411,4.1140137,1.187067,3.049755,4.48452,7.987358,2.411972,2.437334,4.6814976
4.690239,0.248909,3.6102219,0.49551582,2.4418716,2.5022163,5.0962067,3.3882256,1.3777466,0.6426239
1.2688522,6.650963,1.2626495,1.855135,0.8603096,0.42240143,0.73805237,0.4116249,1.1838245,1.5469666
0.9272156,2.2217865,0.35668182,0.08528328,1.3547859,3.3921852,5.5996094,0.1943016,0.6253338,1.1607933
0.5395355,2.4302597,0.51969147,0.59980583,0.38018036,0.4388733,0.70654297,0.31220627,1.9335117,0.4108963
0.72024536,2.8786316,0.33703613,1.6462955,0.7607918,1.6750908,1.6401443,3.0883064,1.321456,0.40583038
5.082306,4.21595,2.5558014,1.828062,3.4248695,1.3536491,5.335312,3.3455849,0.9473648,0.8722992
10.424416,5.0031204,5.8726273,4.3730564,4.965023,1.5796814,8.509186,3.9118996,3.654295,0.059001923
9.1440735,4.4883957,0.45503998,0.35353088,0.1068306,0.11832428,2.9875946,1.3200951,1.8131762,2.015854
9.99115,3.40345,7.210251,1.550766,2.9601707,0.6856804,4.3218994,4.3045425,2.0891552,0.84319687
6.078781,2.9867706,4.9065857,3.6774025,4.7434807,1.8258553,1.7967377,1.1778641,2.750821,0.5212631
4.2994156,0.0053634644,3.3482742,1.2661209,3.84515,0.355011,0.6867752,0.9438591,1.8763466,1.5713959
