Chest,Waist,Pelvis,Bicep,Thigh,Shoulder to wrist,Leg,Calf,Wrist,Shoulder to shoulder
0.669487,0.208107,4.423729,0.51680183,0.5151367,2.731495,4.0723724,2.7612953,0.25124264,1.1393166
9.864136,10.100922,2.3164291,6.5265293,2.946167,2.669178,3.1254044,3.0432014,1.1525469,2.8419914
1.0136032,0.38536835,2.752037,0.21977806,1.7344818,1.6297646,3.5328598,1.2728996,0.3210783,1.8233662
11.846382,20.675339,18.19738,5.797289,3.5171967,3.9114685,5.911461,5.358349,2.738594,5.064995
5.8475113,16.490402,11.655388,1.8816833,1.1947479,1.620491,1.967598,1.0438614,1.615221,4.8137207
7.204338,14.962952,13.6135025,5.129244,5.4256897,1.2869911,1.7009354,3.1229744,3.0045671,3.6514435
10.78051,21.027039,13.23465,3.780573,2.1553078,4.111847,5.3896255,0.41044998,2.9292555,3.3084183
10.144211,17.713577,9.737381,3.7444344,1.9282074,3.2428207,3.237175,2.109867,2.5279179,4.78685
20.291664,24.663422,10.033737,5.867943,7.030571,4.5199776,7.7617035,7.95245,3.2225208,7.1305923
31.302048,33.866333,15.767654,3.1403923,11.122246,7.221493,10.107796,12.686321,5.468211,6.5494385
4.0236816,1.1098251,2.5571365,2.4850292,4.004078,0.46663284,3.966385,0.69953537,0.9746475,2.5167618
3.4522934,1.8107224,0.27280426,0.07682991,1.7708015,1.3300247,1.2079544,1.2281837,0.28927898,1.1370506
2.9352036,11.255119,8.324692,0.18599701,0.47646332,1.2168884,6.233322,2.1058044,2.244484,0.9754181
3.9976883,2.978325,1.8338242,1.6555119,1.9448242,0.7702637,3.5885773,2.889553,0.55366325,3.464119
3.553131,2.6942139,2.967926,0.65540886,1.0839653,4.6669426,4.817589,1.2823868,0.52386093,2.5587654
0.3350525,0.62215424,0.7819443,0.8208542,2.753086,4.4457626,7.2463074,2.341488,0.8469734,2.2130203
4.9393997,7.925621,0.4208603,0.23801422,5.3222084,0.93229675,2.1935806,0.22182465,0.758564,1.5331287
3.7576904,8.976555,0.4184265,0.88723373,5.5261765,1.5477753,3.4898224,1.7472267,1.2897367,3.8483696
1.9106216,12.863899,4.194153,3.0181732,1.6354446,4.2117805,6.1964264,1.4978333,0.5355778,0.89671326
4.799446,16.039345,6.4190903,1.048027,2.189167,3.0708923,5.5760574,2.155136,0.43304253,0.9162636
1.9237823,4.9123154,7.8771057,2.835907,4.916374,1.5476875,1.6609039,1.2636299,0.1284914,0.37218857
5.7869186,11.435158,9.035515,4.6603947,5.072071,0.7360878,4.982788,2.627922,0.72160244,1.4037418
7.8195114,10.563889,10.376289,2.2538433,4.156906,3.3033295,4.8922195,2.7087326,1.3071918,3.248602
9.491989,16.565887,10.369606,1.0627918,0.78912735,0.22448349,3.426178,5.7593536,1.5327644,0.36042786
6.6845016,12.846863,9.649742,0.13255692,2.6241722,0.64226913,3.1754684,5.801182,2.2307234,0.34713745
6.548378,5.958229,7.039551,4.620405,4.003742,5.107807,3.5727005,4.120468,1.9260483,3.8079166
2.657463,1.8333206,1.7840805,0.47588158,1.8180046,3.5836983,3.2905579,2.4524956,0.6639023,1.2050858
8.43541,10.2439575,1.5266953,6.389805,4.0440598,0.107868195,1.1240463,2.266056,3.3078709,0.498806
3.8768768,2.0962753,0.03227997,3.060711,0.33659363,1.2416801,2.0305405,1.7108765,0.5935688,1.8211288
5.747963,7.896057,0.24912262,4.4888306,2.2960358,4.9660416,1.9054184,2.056343,0.3949299,3.045761
14.156807,10.212631,0.8047104,4.6976395,0.44019318,5.156597,0.24303436,0.83592224,0.16545486,4.127239
7.2528305,12.058411,1.8478165,3.8872604,6.484764,3.9697914,1.5218201,3.950325,1.3377838,2.3850517
21.298767,17.654663,8.537247,3.4825764,3.5698433,4.9488792,7.9738693,3.5756226,1.8053141,2.1967316
17.259117,10.299889,6.832672,2.532669,4.1353836,4.520954,6.93869,2.3208923,3.1352816,2.3935013
20.507324,7.073181,7.6978607,2.589054,2.7884483,4.6183167,7.0403595,0.72978973,0.8847246,2.3143196
0.32395935,0.86304474,2.465561,0.3962593,1.320076,0.8242798,5.6279984,0.85097885,1.0714369,2.6201553
3.6831055,3.5686417,2.3160248,0.6627369,1.2241287,0.9654465,0.40359497,0.17885971,1.4613056,1.9901886
2.9459534,2.4041061,4.520668,0.74307823,1.7593651,1.0154686,2.9224625,1.5124893,0.65921974,2.6221123
5.110214,2.8841858,0.8973999,1.2013149,1.5194168,2.3978462,5.3006134,0.85658646,0.574213,3.5246964
3.3022537,4.227768,10.544205,1.1415272,6.1314125,2.6378098,3.1276474,6.496475,2.1122723,1.874733
5.131035,3.685814,7.0354767,2.3772774,7.3155594,0.9058647,2.4357758,5.6852493,1.1500607,0.19332504
1.6952972,0.27470398,2.9643326,0.5540104,4.518654,0.022930145,3.138466,4.5271606,1.2197742,0.49118423
2.2729797,2.4113464,7.0991898,1.7351723,6.282219,1.5741196,1.0268707,7.8535233,0.8948536,0.474926
4.962906,6.6446533,4.7321243,1.9424553,5.3454666,0.27112198,0.53089905,7.859932,1.2846222,0.61258316
14.056908,17.851044,0.9166794,2.5314217,2.9985466,3.179165,2.5862503,4.4648438,0.3532734,0.9484749
1.4838333,1.2468414,5.5132675,0.022565842,5.2165794,0.86805725,1.1925278,5.6095657,1.8430433,0.15817642
22.803513,15.619476,19.035889,3.4615784,12.739532,0.26708984,2.0360107,1.0974045,0.90909004,0.42081833
23.01181,23.427475,26.141464,3.9587097,16.402264,1.7260513,0.2591858,2.6100273,0.89971733,0.0043907166
23.334557,24.405212,22.830025,4.744314,11.89407,0.85041046,2.6988068,1.9765434,0.07984352,0.7760925
2.9806137,5.738632,3.9808197,2.2074413,1.4823227,2.702465,2.7095718,3.2695465,1.4974327,3.4939919
0.58675385,5.768997,0.51275635,0.7618656,1.3479385,4.245388,9.244499,0.95557404,0.8132286,1.7902527
4.332138,0.80404663,1.1273193,2.5770206,0.24079132,0.04127121,2.9081116,1.7286606,1.4190311,0.45544052
0.1453247,1.8499298,0.19181061,3.212,4.4253654,1.3779373,5.306282,0.4955902,1.2519379,1.6516457
4.8354187,3.683899,0.30677795,3.547741,7.0979958,2.399212,7.8876877,1.7530098,1.6109085,1.1516266
3.0692444,5.857666,1.5461884,1.9054832,8.545258,2.0170326,5.6503143,1.3803215,1.4207888,0.17705154
5.769066,8.607712,3.3219376,2.2842216,1.4749794,3.6902008,6.4603806,0.5553627,1.7437496,3.4467201
2.7253647,7.330658,0.8141403,1.18787,3.7115364,2.2806435,3.2954712,1.1895599,1.8706074,1.9544334
3.0306168,2.760254,0.3712082,1.0926971,2.0404778,4.6481667,8.034805,0.6155052,2.2231216,2.71101
8.682327,8.02256,4.7213364,2.6242504,1.2273903,1.4773903,3.1247559,1.163372,0.433527,1.6933784
4.755562,10.846474,9.380592,3.4225845,4.2852173,2.8786964,2.2837677,0.03786087,0.95711136,0.2924919
3.3011627,6.962555,0.9063492,2.8754387,0.41853714,0.5640869,2.3173447,0.51688004,1.1376066,1.1082897
0.7298126,3.2321854,3.732048,0.97203827,1.8971252,1.6238174,1.4623184,0.8719635,0.4984064,1.8977604
0.7785034,1.1739731,3.2483368,0.7702446,2.2210922,1.1105499,0.32507324,0.7290344,1.0367546,2.0122871
4.7227783,9.761055,4.903496,2.3056946,4.5675735,0.22135544,1.0040665,3.2693977,0.9255028,0.8742218
3.5460052,4.394333,2.2628174,0.5282612,1.6714325,1.2306252,3.0292892,4.9761696,0.44968414,0.33576965
8.550789,4.969391,3.9554214,4.010481,4.2281456,1.186573,3.7733307,0.04027939,2.1301737,0.8850441
6.3852158,5.830841,2.0210724,2.272215,1.835846,0.34088135,0.6941376,2.5862541,1.772459,0.99357605
7.389328,7.984833,3.8559647,1.1849899,0.08955002,0.4615364,2.2976074,1.1770287,1.0555096,0.83844376
5.3997116,3.83432,0.62770844,1.3292007,2.5301476,2.3008614,6.6915436,0.94086075,0.062057495,0.51834106
