Chest,Waist,Pelvis,Bicep,Thigh,Shoulder to wrist,Leg,Calf,Wrist,Shoulder to shoulder
3.7967606,18.274353,20.42891,12.723064,11.89502,3.4758034,6.4490204,5.659588,3.724244,17.533894
9.846283,3.2247314,3.4851227,7.5428314,6.78471,11.818085,13.736328,5.833805,2.3862429,7.838417
7.818901,20.303268,20.34822,11.526512,13.474991,0.03643799,0.51789856,2.4279327,1.6763906,7.586811
5.5174103,10.5778885,32.0534,2.6169167,12.089104,12.095646,8.204193,6.0979424,1.9982843,2.0366325
24.136375,4.1267853,1.7760773,3.820839,4.3565903,9.009048,15.228493,7.483799,2.7890291,25.5238
0.2968216,8.386353,24.766808,11.371471,9.839928,7.225235,7.430832,2.0407028,0.17642689,23.109394
7.091339,12.056808,25.674118,9.864063,13.894585,7.3961525,10.889885,7.518345,5.721986,1.7051659
1.5277557,9.590988,25.413834,10.449192,19.043663,6.2949142,10.637917,5.790802,3.6402712,13.884411
0.059448242,8.099251,21.60025,8.978737,14.015526,6.8623047,8.09462,4.8397636,4.4911737,11.185736
5.644417,7.6795197,17.937119,8.32658,7.094719,5.333683,9.467545,7.980751,5.6917715,7.121769
0.6971054,7.601898,21.150871,8.67997,12.826294,7.7793465,9.020554,4.8499985,4.0520945,8.446478
0.43644714,10.059982,23.187744,12.2142105,12.133347,5.3062897,7.7414703,3.7911682,2.8003702,19.462305
3.561432,16.142616,17.283096,14.05164,17.646744,9.0600395,7.7326355,3.4806366,1.0723028,20.91413
12.221588,20.161568,29.603607,13.181873,16.971352,2.69664,7.8904114,6.6138954,3.9377737,0.9348488
2.8114014,18.950356,23.367744,14.9541855,20.397781,4.49102,2.7973328,0.3577423,0.13382816,18.7588
17.28125,26.25953,27.144691,10.432869,13.330299,3.084446,0.7772064,2.8726883,4.6110697,8.239727
7.964287,19.83767,25.916077,11.920551,14.664459,0.40293884,0.87711334,0.43199158,2.8472223,8.257853
18.77858,11.104485,24.792389,1.1854382,6.458458,6.812786,0.5097656,2.4813385,2.4836187,17.431053
18.249252,22.510307,20.629158,10.447872,6.790764,2.236187,2.6843033,6.470207,6.3187456,19.365276
19.617493,40.198204,39.64538,17.878925,22.41217,2.398159,3.6957245,0.5380516,5.9309225,5.946314
8.29158,21.998474,22.70745,15.433044,16.375374,4.669239,8.420853,4.349169,1.5606241,10.146408
8.337013,18.39154,22.800385,14.77203,15.570541,2.905281,3.5391464,2.3544693,0.7456484,8.63903
11.488266,23.211166,31.824837,15.769901,15.930092,4.1035767,0.7508087,0.8065834,0.40801525,16.203661
12.382538,26.335556,27.536263,15.431168,21.43071,0.689312,0.08187866,0.06397629,4.2644167,5.9802704
5.545456,6.5858994,17.533165,10.771378,14.025192,0.0028953552,1.7685547,0.75580597,0.46916485,21.68372
2.6715088,3.4244537,8.43586,0.6915417,0.49784088,1.5934334,3.2580109,0.39204025,1.0306864,9.964718
9.560562,12.429474,16.84681,1.5111485,10.62941,4.9451103,5.9571075,1.6954117,0.5324125,6.402172
5.1774445,0.72351074,12.087486,0.030302048,0.53533936,5.629902,3.17173,3.6834183,0.9610071,16.615677
7.5077744,1.6591339,8.826241,1.0942955,2.6253624,0.43860626,8.988556,1.0791092,3.4891472,8.217159
17.532028,1.4515457,8.263618,1.7917709,8.812202,5.2190857,15.040279,6.4069405,0.69903183,26.017067
4.8184357,1.359848,11.729111,0.7483139,3.1595306,2.3691902,4.265541,1.810257,2.8147335,3.3479385
6.9132004,0.78754425,8.014305,2.2835197,3.1758957,0.527935,6.2193604,1.6827621,3.933054,5.8147583
6.553543,7.655937,15.676033,4.749544,8.589359,2.1070633,3.6240387,2.4522934,0.34441566,18.001173
1.1209259,4.3330383,10.669594,1.2862663,1.8829613,4.456436,11.780922,0.3555832,0.8621597,5.4862595
3.8130798,0.9413147,15.243034,5.278864,9.117012,3.4606514,2.7624664,7.133045,4.736698,6.150284
1.0652695,5.7453384,19.753593,3.9298954,7.725853,0.8163719,2.9557724,3.0876389,1.7741356,2.3185196
11.054764,0.15158844,3.5208511,2.052868,2.0632858,13.738846,21.254734,4.9759407,2.3724613,5.113941
3.685295,1.7636337,6.4931335,0.59550285,0.005218506,5.6789703,15.742973,1.870327,0.04041481,4.599045
3.2068863,3.854988,9.497597,0.9134884,1.866066,6.284374,16.394844,1.2711716,0.112091064,5.0377045
1.9263687,11.678848,16.368652,8.818956,13.32428,5.2876434,2.338974,2.6341515,1.4989223,14.91984
1.596199,6.443161,18.49231,2.0960407,4.740143,1.2116547,5.3189697,2.4786606,1.5771904,1.6266632
1.5280075,9.783691,15.075409,6.126478,10.114876,3.7081528,0.57997894,4.196537,0.95925903,5.0205135
1.9730682,9.976822,16.74398,6.001684,11.223793,1.774662,0.8683624,4.6684227,0.67951584,15.862106
5.56588,2.2980957,12.978355,4.0032787,4.6708794,0.71048737,4.1709747,5.676235,4.4324875,7.36388
0.46192932,6.4279556,9.842514,7.4795666,7.9177704,3.0122566,5.546173,2.6947632,3.9216957,1.266079
1.844696,0.86402893,11.334885,1.9958591,0.41728592,1.0628967,8.468597,4.071659,1.4424725,5.5681114
7.3844223,10.223381,3.836403,8.7536335,10.548878,2.028572,15.101685,1.1906815,1.5219517,16.377525
12.323105,11.672791,1.3643494,6.4945183,8.75124,4.1248703,12.295258,1.0295753,1.1089725,8.9174
14.942352,15.212547,7.249443,7.464077,10.363403,9.051399,25.185688,6.2976494,4.127306,6.863617
19.597733,21.020885,11.014145,9.2494335,15.182709,9.376068,25.268314,6.7525787,4.394514,2.196804
8.91967,2.1959152,4.986351,2.9814377,2.9711113,8.065311,18.534851,3.1509132,1.2981014,1.5775757
4.5092087,1.3232651,23.95578,5.7976494,10.016426,0.21863174,2.3912506,8.140217,2.1725788,1.5524521
3.490532,1.9847946,22.407234,6.1381493,14.891872,3.1988297,2.0908432,5.346939,1.6800175,13.126301
2.2549896,1.7420883,17.674751,6.3498573,13.731888,0.5430603,4.6839523,2.430153,0.56653404,17.248909
0.82138824,5.3012695,23.936836,9.979431,19.583412,2.4265366,5.5183334,0.8359604,0.15579224,22.828392
6.6826553,1.7495651,19.611938,6.760412,10.724129,0.47210312,0.3340454,7.146515,2.5443115,0.5623245
2.7770615,2.0156403,19.21379,7.3370667,13.591499,2.0566673,3.9156647,7.437275,2.5964203,6.007641
2.943695,2.0449142,17.005661,5.8615303,8.39513,1.5778961,0.6187134,6.8464127,2.06003,1.1573982
8.150719,1.0389252,20.875107,7.2181892,10.309334,1.136406,5.066078,9.432293,3.1683693,5.6387863
2.645401,4.9990616,20.979713,3.1387615,9.038807,4.8564835,6.4374466,10.087032,1.6503239,0.21504593
1.8797226,0.02748108,22.573807,7.146652,17.687332,0.52157974,2.1023407,4.057644,0.020877838,22.500908
5.3739166,0.5119095,25.887283,5.488987,11.037029,3.958664,6.2816467,10.088993,2.443449,1.869873
8.738602,3.3577805,25.33979,7.516987,14.644314,4.9895706,5.0036774,8.351856,2.5856056,2.849617
4.2982407,2.0830917,17.653152,1.1862202,3.0832863,2.614235,9.435577,6.605301,3.235962,6.569412
1.3829727,6.9045715,20.973404,7.623644,15.92004,5.298195,12.57711,1.5966911,0.7705612,2.5432892
2.317505,7.2267,21.409103,7.3018856,11.294468,0.1400032,3.1959229,8.067089,4.3062344,9.780947
1.5744476,4.909668,25.011078,7.3773975,12.637859,1.3611412,1.7736893,9.281475,5.375723,0.35349274
2.5580215,1.7930756,19.427551,3.2829762,3.7963715,1.5357933,3.3604279,9.464596,4.6985245,9.872372
2.0242615,1.9810257,19.922676,4.2772923,3.7559433,1.6760292,2.233078,9.716732,4.981163,15.372044
6.7643967,4.4009476,14.780266,5.790022,6.13245,2.4173546,0.27633667,8.036255,2.0062656,9.8335495
0.9700165,5.783066,14.065521,4.553522,1.9578629,2.128624,1.972435,8.674671,4.8202286,9.922581
6.663437,4.5451126,20.066216,8.172739,13.815952,11.541168,15.087021,0.80135727,0.1776638,8.718527
8.178078,4.7210693,23.741798,9.041517,19.754154,12.36343,13.6803665,1.3854904,1.5429726,16.401173
1.5530014,5.481056,25.659721,8.3832035,11.472645,2.637474,3.167801,6.722248,3.9825478,3.686058
19.467896,10.961082,3.8324661,5.0663834,5.7790413,8.697514,23.430088,0.45848083,0.09490585,6.7881393
4.8918304,2.8637009,13.220306,8.40753,17.63393,2.7611313,4.3220444,5.0556755,0.18037033,31.95494
15.478371,7.5758667,3.753601,7.4576797,4.5108185,2.8106194,17.440834,1.5113983,0.105724335,14.399727
1.7669678,1.692009,6.4289856,7.2733116,4.7681656,0.6296959,4.1518707,2.6665077,3.0741806,24.279224
15.675446,7.1851654,12.994186,1.7025299,2.1077194,5.9320297,3.398758,5.825733,3.6064243,1.1035614
27.29638,19.013588,2.0390167,7.065859,4.3767014,2.9640617,14.392792,2.3473358,0.65252113,3.3977203
10.416374,5.79821,12.942017,1.420723,1.5889511,6.262638,2.656868,8.177639,4.9902515,6.756893
11.447113,3.0076752,13.402512,1.5543327,1.7548904,3.6522217,2.8712769,6.0572205,4.742113,1.9905624
12.486755,6.3440247,9.150894,0.95243835,0.1042099,5.446396,4.730049,5.770508,4.0399227,3.93544
13.771812,8.295456,13.86058,0.9385338,3.9633179,7.479885,4.0544662,7.6759796,4.3904724,0.20758057
10.474297,11.597389,5.9883575,7.6215305,5.6164093,4.7058334,15.735741,2.2871246,0.5967598,2.5057793
23.33316,13.288521,1.1989594,5.2315826,2.7615051,0.45692062,13.629547,0.7285881,1.3505878,2.632042
22.691727,17.263428,1.4758453,9.658146,7.291069,3.1763268,13.315926,2.8495903,2.0376396,5.592373
26.57167,15.324997,1.8456268,7.4510136,4.7480545,2.3074532,16.718102,3.5409813,0.67704964,9.597738
14.379219,6.4470215,8.566528,0.13147736,2.4223404,6.9670525,5.5514755,5.670124,4.583599,4.7915535
14.930199,11.055801,13.126083,0.5792923,6.8339844,9.805157,6.1839523,8.215351,2.3260098,0.91082764
0.9887085,4.7672424,13.915329,1.9333344,3.173561,9.366432,1.9626541,9.2313385,6.462532,8.655655
6.698166,9.580711,22.88324,4.5616493,6.5317383,9.221935,1.1837692,10.13332,9.085403,11.433197
12.299179,15.713203,2.46315,6.1058197,5.2992706,7.3833275,0.7308731,4.6848907,0.6067314,22.112328
21.954308,17.628448,1.5820465,7.143982,9.804642,0.53769684,8.590431,4.4976006,1.8706856,13.117027
19.106346,14.896309,6.425949,9.212015,13.789303,1.0416107,8.645325,4.765114,1.3272057,19.24617
19.703682,13.115143,1.0356445,6.853964,9.504459,0.024028778,8.778732,4.2320747,1.7679405,13.314148
1.7286377,9.332474,26.232124,10.746096,18.892319,2.8602943,5.5310516,2.4719543,2.4219093,21.979244
7.0713577,2.3552933,7.126175,7.828882,10.294708,5.4738464,3.597931,4.182537,2.8832035,16.051138
4.763054,7.338562,23.725105,9.556364,17.723312,4.709297,7.4598007,2.8048325,2.829853,13.034849
0.4312439,9.162613,17.3208,10.361731,9.933125,1.5822792,3.531929,2.333355,3.8779755,19.853516
4.524994,1.0150452,12.187225,6.88793,7.621357,6.3088875,10.663231,5.9472084,4.0203705,4.57296
2.4719925,0.7430725,18.097343,6.6540966,10.622898,7.304779,10.099152,7.251156,4.7780304,6.606331
6.1269608,4.0779877,18.993584,7.9071712,10.7425,6.7670746,9.181717,7.1511307,5.2945786,3.2552605
11.351196,8.628143,19.750778,4.2235737,7.3210907,7.3459396,1.1809082,5.4786263,3.7629929,2.6892586
2.7519379,10.438454,21.281227,10.5077305,14.387581,0.6977539,1.2204514,1.9479141,3.3898678,15.971573
4.8734894,9.176544,23.264381,9.584967,14.35453,4.255188,5.0075455,3.911728,4.228258,12.766317
0.5160904,6.736473,20.21679,10.95252,17.529045,2.4711113,0.20693207,0.3289032,0.59544945,22.548943
9.0385895,9.799431,17.458183,7.9007626,7.4870872,3.0203857,0.66304016,4.8485146,5.18989,0.101875305
13.787674,4.3497467,18.716629,2.4380531,4.3510475,8.601284,7.7156525,7.701412,3.0904312,16.360336
8.211861,6.18116,16.824028,4.973421,5.179302,3.6310654,1.5577164,5.357132,4.093914,4.1276474
10.881859,3.244522,18.03341,1.533802,4.89682,7.830124,5.028969,6.466053,2.5518665,11.003658
5.4274673,2.4684143,15.010979,1.4797173,2.1721497,4.9969864,2.567009,5.333729,1.8862858,5.868454
9.275169,2.5785522,18.26799,3.134863,6.722271,7.8266945,6.9110336,5.8272285,2.6350842,7.4679832
3.2241058,3.2060623,15.076035,1.9791431,1.0522232,3.6418076,8.248894,5.985874,2.0275536,10.440254
0.9109802,3.178856,14.640938,2.4409657,4.7035904,3.3035927,5.373123,5.544243,2.8173065,1.673027
9.275169,2.5785522,18.26799,3.134863,6.722271,7.8266945,6.9110336,5.8272285,2.6350842,7.4679832
3.2241058,3.2060623,15.076035,1.9791431,1.0522232,3.6418076,8.248894,5.985874,2.0275536,10.440254
0.5659332,1.9652405,15.237167,2.397234,3.8409882,2.9748497,4.811569,5.227371,2.5856495,0.8733177
0.9109802,3.178856,14.640938,2.4409657,4.7035904,3.3035927,5.373123,5.544243,2.8173065,1.673027
0.5659332,1.9652405,15.237167,2.397234,3.8409882,2.9748497,4.811569,5.227371,2.5856495,0.8733177
2.9422455,3.2163773,16.716606,4.589815,10.10067,4.757927,2.8377457,1.6157875,1.7140598,14.030157
0.11443329,3.5844345,18.889397,7.4548664,14.892021,0.12747955,0.3632431,1.0989113,0.08777809,17.2886
1.7225266,0.81378174,16.088074,5.768423,12.701111,1.2058449,0.5861664,0.11597824,1.2733707,11.255714
4.686699,4.689354,16.35109,5.603876,9.820545,0.8109207,1.7261276,1.5934601,1.2139149,11.63168
7.0771637,14.0768585,8.780884,3.9528065,1.0190315,4.4828224,4.796097,2.2848206,1.6348782,2.3475533
7.5503616,13.544022,8.156967,3.913004,1.2914963,4.030472,2.8801956,1.5264702,1.7252216,0.7188568
2.4482803,1.8955383,16.166351,0.4187851,5.118229,5.2244186,3.5692139,3.9143028,1.1371613,1.6086197
0.69343567,3.959175,17.739693,7.3958035,11.388405,3.0225182,2.9248428,2.3459282,3.392109,14.049978
21.920418,22.248512,2.9897232,11.3811455,8.397419,9.717876,3.7512665,0.8212013,0.276268,4.7148895
25.914116,25.578163,4.466049,7.8760986,6.760536,7.599079,0.34649658,0.47629547,0.06757736,3.9636497
30.049255,28.429153,6.430771,11.321718,9.525806,7.6544914,3.2000275,0.862442,0.034217834,5.2050896
27.885674,28.560524,8.247002,11.999046,10.977123,8.405476,3.2850647,1.1341591,0.20178986,0.07220459
18.296593,12.499657,0.6755371,4.600666,1.9457779,1.6231842,9.9776,4.3646545,0.5376129,2.3139038
22.221413,13.028824,6.7567444,2.2955818,0.19773102,1.8132973,3.7292862,1.5073662,1.8741531,16.392675
17.83062,13.512169,1.1649323,4.7855377,2.6342392,2.9462814,10.323532,4.479107,0.2804947,0.2750473
24.468628,17.61879,0.69487,3.7308388,2.3251877,3.4935226,4.914833,1.8931427,1.4175377,16.089127
39.635452,19.951637,8.7747345,2.9606934,7.6242294,20.39144,31.859715,17.345541,3.4613056,33.785606
39.572105,22.12777,9.222961,4.464302,3.0195618,16.544006,26.7872,15.848312,4.634285,27.806843
15.802666,12.056969,3.2372437,7.4491005,3.5463257,5.7068214,9.413803,1.9766121,0.6054268,1.7459908
21.53711,13.593445,8.593048,2.591938,0.78131866,7.7294693,0.112602234,0.75287247,2.3368416,18.857029
22.81366,10.570442,6.459793,2.5743866,5.8002777,2.510395,10.011261,5.84618,2.0823956,19.545105
19.474579,8.649422,9.202744,2.1767807,5.2114563,0.6360359,7.448166,3.7963715,0.6992607,16.395947
29.961288,21.730064,6.038788,5.549217,5.327568,4.953583,3.2326508,3.9628448,2.4657784,19.173132
30.393745,22.826385,5.32959,4.8761673,1.1886749,5.391445,3.277626,1.5138474,0.735363,20.530922
4.50856,8.543404,5.846176,5.705673,14.356037,10.779884,0.26911926,3.547821,0.77381706,12.344742
21.886223,26.501518,8.573128,8.205292,13.13414,4.320526,2.5342026,1.3397026,0.15686989,11.302937
19.916016,27.300125,9.17939,9.361946,15.7554245,7.232868,1.9079285,1.7892914,1.1584625,10.805073
9.458115,21.473427,3.2650604,9.695887,12.867466,13.71381,5.4435577,3.6981125,0.930851,18.74796
33.515305,39.60846,18.913147,12.96393,21.734425,0.118824005,0.4294052,1.9465675,0.80636024,11.5742
22.425354,22.318985,5.5801315,9.51927,10.743195,2.6212578,8.983826,3.191719,0.90856934,11.166622
3.4160614,0.43408966,3.5374146,9.135981,8.271881,0.30047226,13.163696,4.919132,1.2622356,24.910439
2.6243286,3.6792297,0.96502686,0.5377655,1.9559479,4.33506,1.6698685,1.5141487,1.8215275,19.540367
17.616203,17.504547,0.1296997,4.692257,8.162609,4.0059166,9.216209,2.6416054,0.03869629,4.297409
27.570953,28.93792,16.659164,9.43045,19.371422,5.561054,7.473877,0.5557289,0.47448158,11.981182
19.239067,4.5410004,6.2988434,0.31321716,2.9160004,0.0048942566,10.600235,3.8015518,2.1336021,26.149681
23.918259,25.167961,5.2218933,8.175255,9.796223,1.4852409,1.3448792,0.6910324,0.19282341,6.553417
6.243904,7.1486435,23.26313,7.6691704,10.801044,2.9116783,3.1996155,1.9039841,4.1745834,4.149086
9.008888,9.428543,24.673729,10.089035,12.697048,3.3881989,6.8038254,5.2398567,5.3972874,2.8558006
4.2825165,14.034569,28.121574,12.566372,20.912083,7.1310577,5.127594,3.4892464,2.1432266,22.648743
7.2227097,5.674179,20.118912,5.428009,5.912781,3.4201698,2.0895844,3.5487976,4.3033314,2.830696
4.3762894,7.9262466,18.861366,7.602249,11.930492,1.2622032,1.6936188,0.045333862,1.8071384,6.007511
0.6340866,7.2148743,17.681335,8.720737,12.288212,4.6585693,4.2315445,1.9027138,0.097356796,12.912338
9.8003845,6.591461,19.432098,0.024507523,3.5450325,6.2133675,4.891426,1.7442551,1.949009,5.5951614
6.718132,1.700882,14.258629,2.4810276,0.32936096,6.029896,5.4605865,1.0845375,0.7902622,8.819931
9.017502,8.974533,19.373169,6.458521,10.258076,9.006325,6.749405,6.5616264,4.132169,6.809391
10.198387,7.38855,21.140526,3.7860718,9.114979,9.481983,7.283554,6.9883537,2.9073973,2.1713142
10.331589,8.413017,18.010254,5.9862194,10.139595,8.598434,7.153389,7.3582344,4.426505,2.7477684
13.537804,6.7338715,17.89399,3.9567738,3.4702606,5.0772705,6.7555847,7.0231094,2.7460852,12.445011
13.953949,4.3736954,24.068703,3.568472,3.189476,9.558628,16.067123,11.859146,3.3523626,14.0229225
11.645775,3.1068115,21.608963,4.901102,6.064083,11.117176,17.09475,12.315224,4.4333544,7.561962
17.525795,6.1455383,24.999802,6.4745693,5.3737526,9.569672,14.523186,11.516796,4.062169,12.182648
4.8752594,1.6504745,15.340683,0.35118866,3.524887,3.8753967,2.0452194,6.7422867,1.1501093,4.4135323
4.5046387,7.8647614,22.809624,4.2716007,10.675865,7.723404,4.3090897,3.9348755,1.9922667,14.104076
