Chest,Waist,Pelvis,Bicep,Thigh,Shoulder to wrist,Leg,Calf,Wrist,Shoulder to shoulder
12.567902,5.0047607,3.754692,2.5106316,5.986286,0.2400322,4.9223175,2.101822,1.3294239,4.0102997
1.7133942,0.8381958,10.957588,0.01817131,7.9066925,0.761776,4.297554,3.522625,0.005393982,2.5555763
18.543915,14.13942,13.669899,2.00564,7.1298904,0.26927948,3.1944885,5.4347553,1.8384819,3.6130257
1.3487854,8.810608,1.9239731,3.7124157,2.2489738,1.373436,0.44607544,0.5590172,0.18917084,0.3903389
1.0014038,6.212158,1.1929398,4.378149,3.5953178,1.7599106,0.35137177,0.3909874,0.81066227,0.58948517
4.9370728,1.6854095,1.3332214,2.7015553,1.2664566,0.28225708,1.0537872,0.26762772,0.17370033,0.47531128
3.675583,4.995941,2.561737,2.4339275,4.2929306,1.0642242,0.019973755,2.8076973,0.5786314,1.2965775
6.4710693,3.7135315,0.14781952,2.3860397,1.6943283,1.0245285,1.2785797,1.137394,1.1327581,2.221939
19.945618,29.597626,10.3179245,5.7109566,0.8578186,0.7684555,0.4829712,5.029606,1.1145372,0.67780304
18.568237,29.560028,7.7162857,7.530407,1.1194534,1.0162277,0.6865082,5.257183,2.8645163,2.0082855
1.5931854,5.0961914,9.571625,0.97018623,7.7736588,0.50707245,1.6738281,0.084228516,0.96864986,1.7775841
1.3731079,0.11529541,7.2254715,1.3160992,7.7685585,0.8612366,2.0561295,2.1024933,0.6773453,0.76447296
12.26622,28.313591,14.080086,4.866583,0.5431442,0.1197052,1.2436371,0.12413788,1.1750784,0.37610245
15.838455,29.15892,12.317558,5.608185,3.4832535,0.07770538,2.1063385,3.286007,3.4478235,2.27565
2.0417328,8.346466,0.68943787,0.71004105,1.291542,1.3195152,0.87376404,2.5473785,0.6178169,1.3519058
9.482971,5.1884384,6.3109207,0.1950512,2.0485153,0.78299713,4.3562927,3.3545265,0.010904312,3.5538807
8.086105,1.9633408,0.4807663,1.6433811,3.4804993,1.3365173,0.3418808,0.13492203,0.3852911,1.4289398
6.241928,3.8486633,1.5032043,1.6378536,0.7420273,1.618866,2.4218063,0.5852699,0.3272419,1.7845917
7.6131744,21.924614,14.007149,8.34053,7.730465,1.6805992,0.26644135,3.857872,1.8807611,1.1510849
12.139969,23.265266,12.775742,8.57251,6.007984,1.0349617,2.514618,3.2874756,2.0789175,1.1263199
10.995178,4.40432,5.5760574,1.5800915,4.745571,1.2220345,1.0813751,0.13828659,0.7189312,2.1987228
8.755783,2.9590607,3.52079,0.4253559,2.5186996,0.18230438,1.9412079,0.44825745,0.1255207,3.1658955
7.59935,3.0561142,3.1733627,1.2709751,4.8405724,0.20802307,0.1899643,1.4840088,0.6076908,1.9659882
11.438507,22.99466,16.26207,5.5238247,7.0853195,0.65922546,0.4109497,5.911007,0.5904894,0.9250107
8.096405,18.32409,8.229027,4.9114933,2.1906052,0.15284729,2.2929535,1.7503166,0.02305317,1.8029861
5.7123566,2.6514587,0.18554688,2.0597363,2.6509628,0.9284859,1.384079,0.41108704,0.38723946,2.2685127
3.5416412,3.0517807,3.5016327,2.5746975,0.16330719,1.8070068,0.43281555,2.4672737,0.2317791,1.406868
18.20755,21.033089,11.012642,6.830929,0.8192711,1.56176,1.1926193,2.5535812,0.54790115,0.36680603
15.388306,22.612549,6.906166,2.8471794,1.1085701,2.0180817,2.1342392,2.2338333,0.51179314,0.9953499
12.388046,19.702515,6.1492004,4.255352,1.1325607,0.20614243,0.10094452,0.18773651,1.7141647,0.6693001
8.829117,22.934883,6.179344,2.3757286,1.4513168,0.23378372,0.31835175,0.24398041,0.9312706,1.2988434
4.3085327,3.836052,3.5639267,0.8882599,2.9604034,1.8252907,1.3488083,1.69767,0.3894577,3.4334373
0.2016983,9.653198,5.2237167,0.13383102,1.3933029,0.17599869,0.24460602,3.5079803,0.07029152,0.99660873
11.892738,17.374893,11.891937,1.4195232,0.45591354,1.7258415,1.4325485,0.025032043,0.65366364,0.797863
7.923622,0.66321564,1.5912933,2.3983574,3.6728249,1.2335091,0.2641983,1.4987946,1.1950312,1.4660759
7.3641586,4.5545197,6.9057465,3.4548569,6.1895523,1.0831947,1.8294525,0.9950943,1.1334162,1.65411
7.9432755,0.39543152,4.121849,3.4451523,5.80645,1.7060051,0.7302475,1.0310097,0.44143105,0.096385956
1.8941574,0.3100357,4.751137,0.81303024,5.188698,2.3012848,0.4647751,0.23358917,0.8143482,0.13703537
3.8784256,0.6895752,3.005005,0.84635925,4.1369934,1.8558998,1.8744278,1.2285156,0.09834671,0.6484337
1.173378,5.2435074,6.809654,1.115982,5.313118,0.2644539,0.19490051,1.838356,0.3414116,0.7349739
6.08329,18.233437,11.25528,1.1642208,2.0746994,1.5759659,3.1468582,0.22062683,0.103372574,0.2825508
1.9260635,5.451584,9.736214,0.06348419,4.1074524,0.11433792,0.68359375,2.9432678,0.16507721,0.7029686
0.029396057,5.495697,8.869553,0.6396141,4.2088776,0.5266533,0.7629318,0.963562,0.29654312,0.0046424866
2.7737198,8.568863,8.712273,0.086833954,4.880684,1.6809883,0.5217285,3.152523,0.27183533,0.7942085
20.217293,26.40725,19.34896,5.305292,8.511227,0.2694664,0.9438858,5.632679,0.06722641,2.2574959
1.465065,7.765686,6.9239883,0.45705605,3.1636086,0.24838638,1.486763,2.5340652,0.5004635,0.4447441
23.070885,28.363121,32.766586,12.613874,15.492332,0.8780937,1.4241867,8.55534,1.3996582,1.9034538
32.651833,41.831787,37.784897,10.253469,16.7406,0.7595711,2.47406,8.4757,2.747612,1.9364815
32.92083,36.700394,34.916687,9.956697,17.147163,0.32224655,0.95147705,7.846855,2.2922745,2.822033
11.939934,2.8139954,5.837143,3.7209396,5.4977646,0.97714615,1.1933975,1.2199898,1.823329,1.8439293
4.227867,2.263359,0.653183,0.71224403,2.0211868,0.44813156,2.4415283,0.9533539,0.6971817,0.12843704
0.31468964,2.2520447,1.5280457,2.5467854,0.45064545,2.065445,1.8186798,0.45097733,0.9654293,0.78110886
6.026222,1.1975174,5.04895,3.2092228,5.0761337,0.3882866,1.5062866,3.3780212,1.0331116,1.5509605
6.20916,1.5398254,1.214531,1.4845409,0.966629,1.0678406,1.6216736,0.9696808,1.5576544,1.9871902
6.1651535,0.060646057,2.7351608,5.528103,4.545746,0.3160019,1.5570679,1.5781898,0.2294712,1.0884361
4.081093,0.018669128,1.7065659,6.087778,2.1902885,0.22430038,0.5557327,1.7258339,0.03419113,0.2279625
5.604698,2.3895645,0.30524445,5.299162,2.425499,0.51514435,1.5346832,1.2398148,0.4331627,0.5007744
4.8442917,3.513298,1.924881,3.4357204,2.0981445,0.34294128,1.4404907,0.6787834,0.034311295,0.75777817
10.08181,2.8259506,5.9867783,3.9477615,4.580757,0.17988968,0.50025177,3.6303673,0.5563202,0.13069153
1.3385696,0.01750946,6.3826447,3.489746,4.8902855,0.1792717,0.46087646,2.7585106,0.7270813,0.5973015
5.3696823,1.0452194,8.836754,4.1189613,7.306404,0.0042762756,0.51155853,3.6224022,0.5293865,0.42084885
4.7875137,8.280624,15.735428,8.201714,10.298012,3.401947,0.7854309,4.8920097,1.1680241,2.0570183
13.355095,11.04319,16.063995,6.8420944,9.485161,1.7279587,1.2285461,5.010769,0.5955429,1.1001701
5.979027,9.570984,23.458076,6.8728046,13.173412,4.070202,4.199318,5.724495,1.2015362,1.1005058
2.406807,4.7810135,19.047424,4.7663746,12.246067,1.8359985,2.9453201,5.410137,0.9508457,1.9209862
13.920479,5.087845,0.2866211,1.5869179,3.186802,3.0328598,2.8185272,2.570198,0.6743345,4.5232353
8.249535,5.9906616,1.5584259,1.5646248,1.0418053,2.1152458,1.9054337,0.23192215,0.6228304,2.177456
12.685371,0.6683731,7.661392,1.3337936,4.0508003,1.0485535,1.5596924,5.051609,0.36267662,3.1678734
2.5074234,4.2712097,9.175774,0.8761215,2.0552368,2.6965714,4.6960983,4.372883,0.5024166,0.62570953
9.849541,3.5339584,6.9673615,1.0385227,1.6624756,2.4244614,5.9869537,3.667698,0.5636425,0.4953575
2.1052322,5.387314,11.688293,1.7485466,4.0873604,2.9130096,4.515808,5.083164,0.9463196,0.43964767
20.740105,11.442932,1.3066864,0.08094406,0.66119766,0.5228729,3.12648,2.7455025,0.38218307,1.5351295
4.0689774,11.309601,14.664246,6.4298115,6.650547,3.3922577,5.574257,5.2933807,1.8428383,1.5650826
11.163643,6.372986,5.2934494,2.0040169,1.1802406,2.3131561,3.093483,0.9443245,1.1858625,4.115406
12.353264,9.450554,5.159973,0.85323334,2.43758,4.5265465,3.651146,2.2722054,0.2252121,3.022934
11.036743,4.212349,2.6094208,0.6216545,0.48044586,1.0851288,4.727005,7.6127205,1.509346,1.0852318
8.490265,5.686737,8.478157,1.6765289,1.5813751,1.5000305,5.044861,6.4352684,1.1989136,0.8170357
31.32109,24.538177,28.871857,5.880436,15.746662,1.8925629,4.018715,2.0659294,0.6399059,0.37223816
34.008194,27.2947,32.026825,8.943766,18.410648,0.24704361,5.3941956,0.5214348,0.3882866,1.0060616
25.04367,20.618904,28.642899,6.701103,18.625347,0.19915009,1.4909363,0.40851212,0.90852547,0.26549911
17.917511,10.886955,26.006874,5.387722,17.113178,0.17387009,3.6510239,0.51047134,0.6701355,0.6173439
10.569061,0.38783264,3.5885773,0.60598755,1.4508591,2.5439835,6.872635,7.1968117,1.1900291,0.040786743
