Chest,Waist,Pelvis,Bicep,Thigh,Shoulder to wrist,Leg,Calf,Wrist,Shoulder to shoulder
0.24210358,0.438797,0.022010803,0.0013389587,0.18018723,0.03163147,0.034950256,0.009246826,0.0385952,0.04509735
0.22756958,0.038871765,0.14594269,0.24819756,0.32783127,0.14446259,0.024749756,0.042900085,0.07673836,0.22130203
0.708786,0.44555664,0.015968323,0.033296585,1.2001343,0.11616516,0.145607,0.13609695,0.0113220215,0.08694458
0.5841446,0.215271,0.15653229,0.06553841,0.10123825,0.20052338,0.34635925,0.16859055,0.04761505,0.055992126
0.21905518,0.72647095,0.65756226,0.40776443,0.35194397,0.0008163452,0.30512238,0.19659042,0.0042266846,0.08829498
0.18448639,0.3305664,0.038009644,0.4453125,0.049057007,0.040985107,0.16693878,0.19940567,0.11565018,0.092315674
0.17412567,0.47281647,0.21852875,0.10313988,0.1472702,0.037403107,0.10647583,0.019817352,0.009660721,0.06141281
0.63799286,0.4459076,0.5563431,0.56648636,0.25331497,0.112270355,0.025245667,0.07767868,0.06809044,0.3749504
0.0986557,0.34580994,0.20308685,0.06831169,0.10779953,0.06474304,0.1292038,0.012943268,0.054985046,0.0050354004
0.9772873,1.2349014,0.097351074,0.23364449,0.11623001,0.24836731,0.06555939,0.059955597,0.13828182,0.0025672913
0.28627014,0.15159607,0.15968323,0.012601852,0.5931206,0.13594055,0.064453125,0.03566742,0.01640129,0.14413834
0.41899872,0.59655,0.5040283,0.11784744,0.2440567,0.32396698,0.029464722,0.03823471,0.048570633,0.26478577
0.13858032,0.6004486,0.31253815,0.02047348,0.6366501,0.026607513,0.0283432,0.053272247,0.06377411,0.060329437
0.807518,0.19983673,0.25559998,0.044462204,0.65337753,0.14562988,0.2589798,0.023769379,0.07494354,0.10454559
0.6014404,0.6594391,0.18276215,0.0053157806,0.13064575,0.18759155,0.056243896,0.014064789,0.07066536,0.026683807
1.6183472,0.19481659,0.14344788,0.0553627,0.58652115,0.08192825,0.6399689,0.23753738,0.073934555,0.18685532
0.4282303,0.30596924,0.16988373,0.07118988,0.05222702,0.12734604,0.045082092,0.06806946,0.0979023,0.031276703
0.18618011,1.3074265,0.16194153,0.39434814,0.4205246,0.1492157,0.22582245,0.21462631,0.09083557,0.13751602
0.707077,0.54673004,0.0154953,0.3547287,0.015880585,0.19690323,0.061660767,0.04458618,0.0105896,0.29019547
0.3950119,0.006752014,0.14057922,0.06742287,0.62615585,0.13764572,0.1035614,0.020774841,0.045290947,0.024726868
1.2905579,1.6021042,0.19555664,0.22071648,0.36779022,0.45308304,0.82647705,0.47948456,0.07283592,0.8492279
0.5415039,2.058792,0.47786713,0.9108505,0.3793106,0.47115707,0.25534058,0.2389183,0.055395126,0.5292053
0.9340973,0.08666229,0.2552948,0.20006943,0.378273,0.06796265,0.115600586,0.080905914,0.01553154,0.18000793
1.2374039,0.284729,0.04449463,0.32075882,0.9887428,0.08383942,0.25784302,0.12942123,0.034614563,0.26434326
0.5216217,0.3568344,0.06263733,0.054021835,0.19221878,0.13917542,0.0056533813,0.021976471,0.025771141,0.12045097
0.1407547,0.52014923,0.049957275,0.3406353,0.16799545,0.0037193298,0.03061676,0.050933838,0.03661728,0.12111664
0.33652496,0.028709412,0.18997955,0.023189545,0.11261749,0.19130707,0.20243073,0.08611679,0.010224342,0.0668602
0.9244232,0.96894836,0.6038132,0.40965843,0.18114853,0.06337738,0.4524002,0.3425598,0.1767559,0.013847351
0.6511841,0.018974304,0.07772827,0.39525795,0.8294258,0.07392502,0.10865784,0.024845123,0.072740555,0.008342743
1.0915756,0.056022644,0.16402435,0.06464195,0.7137146,0.46416855,0.2472992,0.14905548,0.067876816,0.29732132
0.043518066,0.08531189,0.20970154,0.092350006,0.25250626,0.050189972,0.1661377,0.07033157,0.06750488,0.031539917
0.52339935,0.766304,0.0102005005,0.11913681,0.040260315,0.021259308,0.12349701,0.0629158,0.13302612,0.11312866
0.24345398,0.6489868,0.4008026,0.01244545,0.2095871,0.12258148,0.03137207,0.002521515,0.20419502,0.1492958
1.2571487,0.4875641,0.33345032,0.060977936,0.54224396,0.10506821,0.05179596,0.06908417,0.07803154,0.030303955
0.1690979,0.16442108,0.17706299,0.2163887,0.083934784,0.07725906,0.14328766,0.09355545,0.12613297,0.046463013
0.28227997,0.09789276,0.38899994,0.033309937,0.36234283,0.27955246,0.21118164,0.13845825,0.121889114,0.41778946
0.71165466,1.3756866,1.6372299,0.35694504,1.0714378,0.08102417,0.0550766,0.004219055,0.039794922,0.20825195
0.1754837,0.15744781,0.16523743,0.0038223267,0.20103455,0.05599594,0.45789337,0.23253632,0.020853043,0.17470932
0.5539017,0.2802353,0.4888153,0.07889557,0.0260849,0.110767365,0.11186981,0.102062225,0.020166397,0.21883774
1.1640244,1.1370544,0.36695862,0.3670063,0.21467209,0.05393982,0.101493835,0.011875153,0.11783314,0.255558
0.14477539,0.049194336,0.11935425,0.01243782,0.68297577,0.13258362,0.027198792,0.022628784,0.008998871,0.1537323
0.5249634,0.45278168,0.0054244995,0.10451317,0.18331146,0.10746002,0.048957825,0.018356323,0.048542023,0.1030159
0.82255554,0.025062561,0.27146912,0.068222046,0.19591522,0.03529358,0.011329651,0.02747345,0.054763794,0.26808548
0.38102722,0.06617737,0.16457367,0.1598053,0.15356445,2.4479904,0.47413635,0.31944656,0.11707783,0.65309143
0.8794708,0.49715424,0.39354706,0.21979713,0.8014145,0.087142944,0.023376465,0.027870178,0.119501114,0.1380825
1.4374924,1.1038437,0.13939667,0.069107056,0.5456734,0.055912018,0.21450806,0.12506485,0.29635048,0.20367432
0.58258057,0.788147,0.275589,0.070100784,0.37337494,0.06302261,0.36445618,0.20389938,0.10692215,0.07394791
0.09754944,0.08985901,0.16659546,0.098436356,0.26588058,0.28115463,0.056159973,0.112392426,0.042001724,0.2662506
0.15681458,0.5540314,0.2505417,0.18909836,0.8084526,0.26885986,0.30899048,0.19013214,0.009565353,0.33098602
0.8282471,0.38226318,0.01537323,0.020168304,0.26720428,0.3022499,0.12921143,0.064144135,0.07162857,0.1295147
0.28858185,0.82411194,0.119895935,0.1723156,0.22031403,0.3454094,0.12935638,0.109127045,0.12675858,0.002254486
0.31513214,0.016456604,0.77386475,0.16271591,0.19960022,0.34967422,0.20174408,0.1263771,0.056638718,0.14639664
0.84729767,0.5933304,0.18151855,0.225914,0.24759293,0.005958557,0.015808105,0.001461029,0.24103737,0.004081726
0.11289215,0.38742828,0.10297394,0.14839363,0.70708466,0.095508575,0.45706177,0.14663696,0.0051193237,0.14206696
0.020561218,0.5930252,0.023208618,0.007320404,1.5144463,0.08838272,0.026359558,0.012645721,0.06565666,0.03539276
0.9812622,0.66952515,0.11086273,0.057641983,0.22413254,0.064842224,0.13306427,0.045009613,0.028396606,0.07136536
0.113456726,0.19934082,0.11947632,0.019535065,0.44104004,0.08205795,0.03842926,0.11091995,0.025205612,0.032794952
0.49341583,0.3197937,0.31188965,0.21168137,0.3335724,0.017433167,0.320961,0.15234756,0.033246994,0.05290222
0.73641205,0.08415985,0.18888092,0.020147324,0.43186188,0.18810654,0.37464142,0.12549591,0.01414299,0.19312286
0.9105606,0.52116394,0.084106445,0.15438461,0.25040054,0.12327957,0.22380066,0.012809753,0.0014209747,0.050323486
0.27928925,0.2232666,0.45598602,0.4491577,0.5964546,0.10505676,0.24246216,0.09561157,0.25927353,0.17039871
0.27275085,0.06803894,0.10941315,0.15453339,0.36520386,0.054466248,0.044197083,0.009140015,0.0109062195,0.015785217
1.1213913,0.8196945,1.2067795,0.5036011,0.67588043,0.26852798,0.087905884,0.1354866,0.14352608,0.49643707
0.48797607,0.6838455,0.3999939,0.03325081,0.1881218,0.028812408,0.3927002,0.16851044,0.26133156,0.017887115
0.16918182,0.8490372,0.5472946,0.19853592,0.22254562,0.036190033,0.27014923,0.11916733,0.02054596,0.16790771
0.09929657,0.22478485,0.16747284,0.26883888,0.07008743,0.068805695,0.0008392334,0.054351807,0.04037857,0.018211365
0.8810806,0.6245804,0.10459137,0.100385666,0.25159454,0.06996536,0.018005371,0.029571533,0.08530998,0.046123505
0.005027771,0.50774384,0.9502945,0.18015671,0.9122925,0.08172989,0.045150757,0.02646637,0.010194778,0.20924759
1.0839539,0.14606476,0.22681427,0.27648544,0.32190323,0.21507263,0.15574646,0.1518364,0.15041542,0.004043579
0.92635345,0.49895477,0.024482727,0.1649723,0.24328995,0.095565796,0.076423645,0.14493942,0.12928295,0.047563553
0.47318268,0.5011215,0.34214783,0.43726158,0.42230606,0.061950684,0.09224701,0.14431763,0.008934021,0.110054016
0.4027176,0.016212463,0.13750458,0.21300125,0.40517807,0.084545135,0.16400146,0.14337158,0.04918289,0.21069717
0.33790588,0.1131897,0.24681854,0.23256493,0.20915985,0.07409668,0.033462524,0.06996155,0.056793213,0.21624374
0.31345367,0.11014557,0.103523254,0.15264511,0.15503693,0.26613235,0.29102325,0.12834549,0.025762558,0.039402008
0.19415283,0.3235855,0.16181183,0.1224308,0.006412506,0.04769516,0.03161621,0.04068756,0.06756401,0.05639839
