Chest,Waist,Pelvis,Bicep,Thigh,Shoulder to wrist,Leg,Calf,Wrist,Shoulder to shoulder
29.646545,14.568451,9.443672,0.6691303,9.195606,8.33807,10.883526,4.117733,3.3490171,94.661224
45.65095,32.62437,37.03021,9.359222,24.874796,17.091883,29.421566,13.143375,5.06028,63.332317
31.132301,18.19994,16.899605,4.004492,14.839588,9.974987,17.510052,6.6975384,2.7969255,88.232666
29.14177,10.153809,11.079689,1.2962399,1.4612808,1.6666908,3.3779602,3.294487,1.3931475,109.24667
55.317963,35.079052,37.66915,10.500453,23.560003,17.01022,24.10714,9.817505,5.9424963,59.441784
60.098736,38.958645,39.148556,8.568113,19.109226,21.121134,29.969326,14.280485,7.0461874,45.22665
33.112106,13.360031,12.665947,6.114727,4.9829597,2.1887627,0.9363327,2.571331,1.7769842,104.871735
44.510616,28.327496,11.598938,0.24202728,7.9699135,8.702633,10.718666,2.4886131,3.112132,84.88887
48.897667,32.413372,34.648384,7.2346973,21.958986,15.192959,19.37521,7.0190926,6.890215,67.96359
60.360775,40.801414,45.195244,13.331217,27.158949,21.22991,33.530937,15.161373,7.037159,43.023853
63.485283,46.42645,51.365273,12.796579,29.95325,24.345074,35.78079,16.06482,7.6588182,35.015194
57.689365,39.93891,44.880013,10.4211035,24.869804,22.782898,32.184513,14.295023,6.6362104,43.093304
44.679413,30.001808,32.630394,6.269087,21.238163,17.989944,21.688156,8.258099,7.470795,59.692608
54.003357,30.04243,20.316467,6.04167,20.393764,15.247223,19.741879,7.5855484,6.7677937,59.256786
55.997837,34.61633,31.833427,7.849264,26.18452,20.075794,22.371792,9.194206,7.7982774,47.410496
67.95034,45.02548,43.47573,13.317904,33.5764,24.52846,34.412453,14.362503,7.6818123,30.220493
48.90013,30.416782,32.52597,9.636425,28.385023,17.90384,16.288109,5.954527,7.905467,55.63174
48.945415,31.972088,26.41233,8.7385235,23.516436,15.857361,17.422756,5.6279564,2.6334076,61.70943
70.79343,50.90883,56.55905,16.412706,37.366436,28.337027,39.326267,18.002342,8.253016,20.531078
60.33786,41.29278,38.80603,9.841951,30.047695,24.271206,29.705372,12.450121,6.7919083,32.9876
68.577835,48.112343,66.600204,16.966553,37.273834,29.74445,46.401154,22.38393,11.778218,15.89761
69.5895,48.76396,65.4194,17.626377,36.324455,29.368187,47.97754,23.37192,11.924793,17.580997
68.04619,46.96751,66.99385,18.339651,39.76425,28.212639,40.47332,19.382874,12.258817,19.177876
56.203045,41.57079,45.448215,9.255199,26.235535,23.0429,29.743881,11.759373,6.807336,42.4978
37.2031,24.96437,22.188759,5.0675106,15.233978,9.643375,12.359997,5.3823223,4.2098246,81.717255
37.759037,25.216022,18.98153,8.457815,15.843288,9.570499,15.564625,4.0948105,0.21986961,89.136
2.9593353,12.16433,4.684746,0.106687546,2.725338,2.5315742,2.284813,4.440941,9.346894,124.350464
44.643703,28.563274,27.618149,10.054342,18.253765,15.963198,21.907787,7.566429,1.3683634,67.64273
53.118977,29.457294,24.068764,12.537422,17.992237,11.062439,14.073666,7.1946735,6.213068,78.168724
31.782822,8.77092,7.9170456,4.7110844,5.250187,2.8162155,9.431084,3.0611992,1.6932125,105.34515
32.996033,13.944267,23.892174,10.580671,18.78698,9.076263,14.220402,5.903469,4.9077578,92.10486
37.73719,21.495087,23.479393,10.849396,18.765469,12.243237,15.728931,6.2859383,6.132267,81.410095
22.222214,10.903503,4.4480743,1.6024742,9.107796,9.085995,14.176231,3.0824013,5.232109,104.40877
58.204693,42.20121,47.910576,16.454777,34.06774,25.638924,34.72153,12.630684,9.028433,48.999954
49.35535,25.720085,10.681259,3.9936943,4.9103203,16.188885,16.929832,4.2995834,6.983077,73.29965
48.75217,30.327808,31.992401,11.866438,21.909927,20.827118,27.019543,10.190937,8.370787,61.95974
46.871822,26.694653,22.265823,8.164015,16.532505,18.724667,28.35511,11.478348,5.931427,66.34983
36.460938,24.7765,26.117996,8.619263,19.37576,12.203388,20.870388,5.4806137,5.0891523,89.51318
39.21732,26.307285,25.968689,11.157902,20.559746,11.313892,21.53017,5.9526367,5.619712,89.46545
33.8024,19.455864,20.025429,6.755596,13.58828,14.387619,23.754116,8.040386,5.8992662,86.449615
33.988777,13.857407,0.43138885,2.4450607,5.168476,8.088348,13.672218,2.6856804,4.5167446,102.87422
35.320686,24.724537,27.047455,12.195536,20.168865,16.80624,27.601387,10.058132,7.996477,78.94102
22.272781,2.8511276,1.0639877,0.2611885,5.7209587,9.169888,12.485542,2.730793,5.6048107,105.1485
72.30289,48.645252,53.859764,15.570431,28.796223,32.305923,51.865997,23.088005,10.926466,20.05083
65.131836,40.61546,38.70745,10.847828,18.293854,26.125622,40.95422,16.894447,9.675662,40.656364
51.213444,27.422028,22.963661,9.867195,14.3237,19.81017,34.212566,13.196873,8.527744,63.7296
47.90324,32.048996,30.44754,13.382549,22.213665,17.204308,30.027828,10.249863,7.5477705,73.17204
23.76793,11.208725,3.7854614,4.202694,8.02364,4.912922,10.601929,0.5167465,0.8390503,117.72513
50.328865,34.57861,44.824776,15.801771,25.832531,16.592117,32.103043,9.850302,5.442648,79.252975
34.63224,18.897861,24.14125,10.137461,15.580791,9.219971,20.5919,3.188408,2.4665985,106.88353
32.046257,20.487865,18.984238,7.2879066,12.282143,8.271873,16.428505,2.8183098,2.7503214,107.04375
19.198494,15.774475,3.1483307,1.3978977,1.9527931,4.4826736,1.0370407,3.8672638,4.578636,114.21578
51.590237,39.815792,47.965073,11.393419,24.081293,25.82077,36.305546,12.514107,7.3467865,50.259758
48.327465,31.924213,28.361565,7.660736,14.702694,17.892952,28.095535,7.719982,7.658991,70.41286
29.663471,17.692345,7.0866623,0.17154121,0.33643723,10.861626,15.760338,1.3637543,4.0007153,94.28767
40.512585,31.200985,25.647858,4.04352,11.160336,18.825508,23.24197,6.5177326,6.4922123,73.29291
42.992573,32.74352,23.619247,4.111086,13.82214,19.568956,21.614964,3.9955502,6.869382,67.42193
40.251556,30.89217,26.546188,4.8018475,12.704559,17.816734,19.614376,4.852709,7.2879744,75.276924
44.350044,37.068424,38.866272,9.635031,21.182487,20.771109,27.206402,8.341167,7.7765303,66.111
40.287975,34.40665,31.491306,7.703615,16.916693,16.417469,16.266895,2.4954567,6.006201,77.78294
14.374138,2.7050629,10.380302,4.1730556,7.800396,5.119972,6.371681,2.196289,1.2735882,116.083015
18.238693,4.7050247,0.51488495,0.8166599,2.3203468,1.4753456,7.2745667,2.2812653,2.0784426,125.7219
15.880562,5.085182,0.03100586,0.19396782,0.66765213,4.189808,6.497719,3.170044,2.6689587,122.10406
