Chest,Waist,Pelvis,Bicep,Thigh,Shoulder to wrist,Leg,Calf,Wrist,Shoulder to shoulder
0.120391846,0.02658081,0.5508194,0.1834259,0.37558365,0.102760315,0.033813477,0.06531525,0.12969398,0.031009674
0.24787903,0.6754837,0.7973099,0.44186974,0.006690979,0.02072525,0.036842346,0.108982086,0.26722908,0.12055588
0.11659241,0.6359253,0.023223877,0.09197998,0.4010086,0.00623703,0.03351593,0.01467514,0.043489456,0.09693527
0.32039642,0.5778961,0.07444,0.04373741,0.54369736,0.03492737,0.13044739,0.012756348,0.0820961,0.1943512
1.2076721,1.7054062,0.07247925,0.124443054,0.2617035,0.009220123,0.18740845,0.034175873,0.056905746,0.10437012
0.9332733,0.4779358,0.4658432,0.109687805,0.42598724,0.035747528,0.43597412,0.27082062,0.065172195,0.01846695
1.0084915,0.023101807,0.25300598,0.22350883,0.055332184,0.12545776,0.13498688,0.09114075,0.066114426,0.36680222
0.4766159,0.22554016,1.3597031,0.25989914,0.6900215,0.0012779236,0.12778473,0.2049141,0.076602936,0.13497162
0.8495712,0.22141266,0.010505676,0.27090645,0.06027603,0.0356369,0.06905365,0.14929962,0.14671707,0.43838882
0.21924591,0.25839996,0.37449646,0.025419235,0.13500214,0.30297852,0.49611664,0.2795868,0.033579826,0.06845093
0.7469635,0.63217163,0.25911713,0.039440155,0.30612946,0.11277771,0.29530334,0.18220901,0.073661804,0.084918976
0.33551788,0.1865921,0.2542801,0.13135147,0.36281204,0.39003754,0.53842163,0.39994812,0.019407272,0.16273117
0.15652466,0.7730942,0.19142914,0.008052826,0.36425018,0.11666489,0.2013855,0.029529572,0.14732742,0.03371048
0.29988098,1.1106415,1.0553741,0.48501778,0.3523674,0.2028656,0.16333771,0.2500763,0.37742043,1.0610466
0.44698334,0.17163086,0.32518005,0.01684761,0.2118454,0.1924057,0.26844788,0.2367363,0.07304764,0.11752319
0.79216003,1.053093,0.16828156,0.3284073,0.86647415,0.10946655,0.89424896,0.4278679,0.008478165,0.045585632
0.43019867,0.01992035,0.12883759,0.020429611,0.916832,0.064201355,0.42303467,0.2472992,0.08652878,0.060848236
0.24381256,0.7352524,0.38158417,0.5203934,0.6611366,0.58032227,0.10967255,0.19822311,0.2412014,0.28686523
0.5602951,0.1879654,0.6117935,0.31900215,0.16133118,0.35313034,0.4494934,0.30106735,0.16646004,0.33584213
0.6765213,0.0856781,0.15287018,0.02150917,0.26766968,0.16417694,0.13410187,0.18050766,0.08230114,0.12596512
1.19384,0.08060455,0.64289856,0.18240356,0.26527405,0.022319794,0.5599823,0.30529785,0.32577705,0.065475464
0.8884735,0.294899,0.28313446,0.10887146,0.8066101,0.052387238,0.37215424,0.20850754,0.31859398,0.4262352
0.70687866,0.22011566,0.58805084,0.102127075,0.25344467,0.24633408,0.42430115,0.2030716,0.0605278,0.061206818
1.7173004,1.3592148,0.047470093,0.32611465,0.4420395,0.13582611,0.7516327,0.34094238,0.62141037,0.36431122
0.04801941,0.053268433,0.24383545,0.09123039,0.34893036,0.12092972,0.07758331,0.046958923,0.24247265,0.2712803
0.017738342,0.8059006,0.05974579,0.11805344,0.1912384,0.11735916,0.14159393,0.0077285767,0.2504444,0.060035706
0.43712616,0.34468842,0.33971405,0.07264328,0.15965271,0.21691895,0.50839233,0.30157852,0.035747528,0.09576416
0.6217346,0.732254,0.19081116,0.9379978,0.016189575,0.27540588,1.2426071,0.53253555,0.08123016,0.4062233
0.888237,0.60580444,0.38111115,0.043008804,0.62794113,0.18354034,0.41540527,0.28778076,0.25593758,0.0056648254
0.767334,0.8526993,1.0235672,0.15961266,1.4876785,0.24023819,0.4275055,0.16638565,0.051591873,0.3392067
0.07145691,0.27236938,0.35764313,0.05750084,0.43701935,0.007968903,0.12704468,0.072330475,0.07537079,0.07730484
0.035987854,0.32653046,0.14977264,0.15699005,0.33333588,0.15987015,0.17245483,0.0153541565,0.0924263,0.20047379
0.3110199,0.87013245,0.25695038,0.10810089,1.0611153,0.06179428,0.05328369,0.076927185,0.21552658,0.17264557
0.77911377,0.38990784,0.36769867,0.100084305,0.16619492,0.21590424,0.2830124,0.1448021,0.14358139,0.123111725
0.10726166,0.5880356,0.16844177,0.03769493,0.36516953,0.07310486,0.17699432,0.05412674,0.06342697,0.098171234
0.4394989,0.20474243,0.41181946,0.31830597,0.09793854,0.13209915,0.40546417,0.25037003,0.23609352,0.1387291
0.016036987,0.5775223,0.7340317,0.17996216,0.034168243,0.30955124,0.5006027,0.24442673,0.26241684,0.007381439
0.61608124,0.62176514,0.15497589,0.030996323,0.07956314,0.034412384,0.20758057,0.13463593,0.17650604,0.10380936
1.3728104,0.6682205,0.7738495,0.23232841,0.17863083,0.21593094,0.4035797,0.21352005,0.059135437,0.014362335
1.0320282,0.697937,0.48682404,0.54131126,0.5978699,0.15014648,0.4201355,0.19733429,0.24858093,0.18561554
0.01789093,0.70899963,0.61813354,0.4495201,0.7639694,0.09201813,0.057800293,0.04437256,0.2766552,0.26356506
0.12454224,0.14666748,0.15444183,0.053438187,0.33733368,0.10880661,0.07752228,0.045051575,0.23503208,0.208107
0.4499054,0.15151978,0.00466156,0.07210922,0.56411743,0.18270874,0.20844269,0.12646866,0.17932129,0.39393997
0.8903961,0.51338196,0.40802002,0.024858475,0.44070816,0.2521286,0.13521576,0.0007133484,0.021739006,0.1753788
0.3325653,0.4196701,0.0070495605,0.07628441,0.39199448,0.19098282,0.0042266846,0.04193878,0.19453621,0.04454422
0.90973663,2.0555649,0.43470764,0.5744648,0.019771576,0.34923553,0.55205536,0.24779129,0.31197357,0.40490723
0.12213135,0.44317627,0.09616852,0.043190002,0.55810547,0.28245544,0.05041504,0.015548706,0.067765236,0.3256836
0.008872986,0.013320923,0.07649994,0.5498085,0.04458618,0.27217484,0.039009094,0.07662201,0.32774353,0.031532288
1.2500458,0.35552216,0.80844116,0.080877304,0.069667816,0.16956711,0.38420868,0.07647705,0.061180115,0.330925
0.5410538,0.11463928,0.3298416,0.16609001,0.020915985,0.23740768,0.1641388,0.04153824,0.06241417,0.28115082
0.050949097,1.2935181,0.1852417,0.24398613,0.013893127,0.3473816,0.058929443,0.03754425,0.07260704,0.23521042
0.3299942,0.5181503,0.31131744,0.16570282,1.1460419,0.17850494,0.07892609,0.0077400208,0.15820312,0.3844452
0.39871216,0.112220764,0.34106445,0.24935913,0.1286354,0.012203217,0.02848816,0.031028748,0.114751816,0.104198456
0.5434265,0.84093475,0.667511,0.41734505,0.29214096,0.084789276,0.796608,0.37000275,0.121974945,0.13203812
0.101745605,0.32109833,0.877594,0.3485794,0.873539,0.16981506,0.11576843,0.08621979,0.030813217,0.27345657
0.0450058,0.2571869,0.11677551,0.1863575,0.07629776,0.05268097,0.5287552,0.33588028,0.02586174,0.14327621
0.140831,0.058021545,0.10179138,0.38625717,0.14339828,0.0062561035,0.38598633,0.14687347,0.31546593,0.04266739
0.17308807,0.17037964,0.14502716,0.34829903,0.1850853,0.01594162,0.22681427,0.12369537,0.2177887,0.19053268
0.6976013,0.36977386,0.036880493,0.20442581,0.10318375,0.42567825,1.0356827,0.6444664,0.23129272,0.0067825317
0.3857956,0.8442993,0.0812912,0.22850418,0.21520615,0.26185608,0.79416656,0.37434006,0.21834564,0.019748688
0.33442688,0.27469635,0.37651062,0.18356323,0.33330154,0.21059036,0.16603088,0.057331085,0.12368393,0.16206741
1.0232391,0.20800018,0.8255768,0.12115288,0.12675476,0.21443558,0.13391876,0.05947113,0.1394844,0.21317291
2.8186188,2.9386978,2.8509827,0.14564133,1.0441856,0.5229912,0.54800415,0.24790573,0.18842888,0.13589859
0.1357956,0.060905457,0.06842804,0.45559692,0.043266296,0.28479004,0.022125244,0.028129578,0.2189331,0.014118195
0.951355,0.1962204,0.17631531,0.32273102,0.7632942,0.12847519,0.35463715,0.19489288,0.36394882,0.04286194
0.08224487,0.7091751,0.2528839,0.15557098,0.3995819,0.08940506,0.14201355,0.031604767,0.024534225,0.009319305
1.2929611,0.10782623,0.0398407,0.13321877,0.32054138,0.042446136,0.19213867,0.08150864,0.245224,0.11968994
0.3576355,0.50943756,0.6965256,0.23305893,0.27391434,0.30278778,0.5538101,0.2851982,0.36279678,0.035495758
0.43649292,0.293602,0.22772217,0.15958023,0.7321968,0.12658691,0.10974884,0.019863129,0.1326065,0.22106552
0.10095215,0.043571472,0.59539795,0.0016880035,0.13320923,0.26659393,0.0049972534,0.011898041,0.0999918,0.16364479
0.6962204,0.9108963,0.46982574,0.13990784,0.16654968,0.47169113,0.5365143,0.29661942,0.033575058,0.04650116
0.5315628,0.1208725,0.6694412,0.00049972534,0.07954407,0.062568665,0.42266083,0.14035034,0.16270447,0.06694412
0.24980164,0.8653717,0.56282806,0.5060921,0.612278,0.050209045,0.051750183,0.043842316,0.24980354,0.40164948
0.61489105,0.929863,0.08583069,0.007888794,0.40972137,0.0013656616,0.33499908,0.10761261,0.10558128,0.2846794
0.20534515,0.42707825,0.1947174,0.14266586,0.17913437,0.17621231,0.09927368,0.08506775,0.094519615,0.077028275
0.14117432,0.08895111,0.6094208,0.28922272,0.21604538,0.08455658,0.3356247,0.21500778,0.007007599,0.39740753
0.23097229,1.2609863,1.609726,0.8408222,2.3561707,0.1365509,1.2509155,0.51846695,0.41289902,0.11513519
0.10267639,0.12663269,0.55113983,0.01877594,0.3028412,0.030815125,0.0047454834,0.101997375,0.184124,0.066913605
0.44519043,0.23863983,0.04232788,0.22470665,0.28250885,0.15002441,0.28787994,0.124485016,0.10327816,0.2943802
1.1989822,0.90071106,1.1230698,0.40413094,0.50131226,0.30539703,0.042678833,0.057353973,0.072752,0.2605343
0.87545013,0.3528595,0.42803955,0.39518356,0.51348877,0.17268753,0.30381775,0.20827103,0.12843037,0.22365761
0.21382141,0.33544922,0.3663025,0.096544266,0.7473831,0.13619232,0.14975739,0.042453766,0.014835358,0.42835236
0.4466324,0.7050171,0.36436462,0.43286514,0.014823914,0.43086624,0.046676636,0.041873932,0.18120003,0.3870201
0.14813995,0.7105942,0.17916107,0.09620094,0.15922546,0.12822342,0.15912628,0.06819534,0.14939404,0.14653969
0.7521744,0.5561447,0.24630737,0.36465454,0.36032104,0.10536575,0.1824646,0.16144943,0.0022354126,0.23168182
0.05947113,0.38623047,0.32064056,0.1653328,0.16023636,0.07207489,0.120391846,0.0027313232,0.1422863,0.14125061
0.45780945,0.4981308,0.21206665,0.1703434,0.22034836,0.27796555,0.78178406,0.4854889,0.15264702,0.3125
0.051742554,0.5731659,0.8347626,0.31866074,0.26218033,0.27449036,0.32157898,0.19067764,0.07593346,0.2239399
0.8733063,0.035308838,0.093315125,3.4332275e-05,0.6233368,0.17098236,0.28401184,0.25205994,0.11796379,0.048023224
0.4912567,1.6184311,0.008148193,0.12832642,0.24087524,0.5973053,1.2066345,0.4522438,0.25296402,0.7442169
0.27043152,0.1717453,0.5060806,0.07300186,0.066474915,0.06492615,0.31097412,0.1373825,0.012737274,0.02666092
0.33255768,0.015708923,0.5256653,0.25778198,0.24723053,0.19950485,0.13414764,0.109012604,0.32498932,0.33981323
0.7365494,0.25670624,0.44644928,0.084308624,0.16354752,0.19562149,0.16957092,0.08351898,0.16148758,0.12980843
0.50064087,0.23679352,0.101005554,0.063051224,0.07647705,0.33660507,0.80353546,0.5161209,0.13415527,0.19868088
0.18037415,0.34261322,0.39361572,0.20324326,0.75058365,0.5098381,0.21875,0.19169617,0.08470917,0.1607666
0.27723694,0.9205704,0.31924438,0.41613388,0.54037094,0.10028839,0.06781006,0.03156662,0.09178352,0.1925621
0.35260773,0.5575638,0.4893341,0.24713898,0.46577835,0.010425568,0.2564621,0.0077056885,0.10996246,0.026180267
0.19446564,0.0036849976,0.21962738,0.15329933,0.4023819,0.21413803,0.19755554,0.14398575,0.07581425,0.012138367
0.46929932,0.22531128,0.17233276,0.14778137,0.2335701,0.34360123,0.6525421,0.3732109,0.102479935,0.4000969
1.489006,1.0460968,0.30997467,0.32099533,0.22193909,0.1914978,0.21353912,0.12755203,0.030248642,0.12295914
0.23918915,0.7099991,0.031707764,0.054576874,0.26583862,0.020553589,0.019317627,0.020050049,0.0059871674,0.4193077
1.0871735,0.24126434,0.8550415,0.24508667,0.1312828,0.20803833,0.284523,0.14030075,0.09840584,0.10336685
0.19351196,0.16270447,0.3722992,0.09632301,0.0712471,0.05646515,0.097351074,0.04393387,0.20118237,0.100069046
1.1077423,1.2656708,0.026397705,0.102638245,0.7653961,0.14069366,0.48754883,0.2764206,0.30423164,0.40417862
0.42050934,0.90158844,1.0080948,0.65540123,0.037498474,0.21061707,0.19750977,0.0032081604,0.30042267,0.41387177
0.48899078,0.14041138,0.41947937,0.08275604,0.29979324,0.16526413,0.023468018,0.07304001,0.013547897,0.28921127
0.68455505,0.42972565,0.024162292,0.06645203,0.47442627,0.031505585,0.11260986,0.04590988,0.22149277,0.5352402
0.8819885,0.6601486,0.2852249,0.019044876,0.4211464,0.0870018,0.02947998,0.03892517,0.13644981,0.060611725
0.12918091,0.27850342,0.78095245,0.032224655,0.34603882,0.008205414,0.114349365,0.0020370483,0.092041016,0.004957199
0.20087433,0.10612488,0.77667236,0.04083824,0.7340927,0.14967728,0.35975647,0.08477783,0.081811905,0.20040894
0.26068115,0.56749725,0.033554077,0.2283516,0.09666824,0.15825653,0.3384323,0.13613892,0.020626068,0.112716675
1.0095444,0.8226471,1.0722733,0.39348984,0.8507614,0.034690857,0.008453369,0.04695511,0.4363842,0.2990837
0.7110748,0.38154602,1.1190643,0.24272537,0.35340118,0.1825943,0.10153198,0.12600327,0.11396217,0.15450287
0.5154877,0.1989212,0.16875458,0.18465614,0.1326294,0.23355484,0.08325958,0.03173065,0.091856,0.28128433
0.056373596,1.1680679,0.22798157,0.092847824,0.09851837,0.21180725,0.30376434,0.092178345,0.08154297,0.37086105
0.9777603,0.11556244,0.31562042,0.09296799,0.23170853,0.20514679,0.021873474,0.05947876,0.017216682,0.1003418
0.5340347,0.15603638,0.8144684,0.038934708,0.6326637,0.31191635,0.21794891,0.043289185,0.17252636,0.63757515
0.066604614,1.0686722,0.38446808,0.45415688,0.5154381,0.17598724,0.24183655,0.13639069,0.065252304,0.30392456
0.23560333,0.037574768,0.05041504,0.040725708,0.09754181,0.19316864,0.25265503,0.20478821,0.16781044,0.04574585
0.3986969,0.07266235,0.07015991,0.07143021,0.10717392,0.31503296,0.31445312,0.25671387,0.20298862,0.034046173
1.0043793,0.34083557,0.23569489,0.063554764,0.013916016,0.12092209,0.5632019,0.4361763,0.017560959,0.5565071
0.47375488,0.17930603,0.0976944,0.078660965,0.18131638,0.26769638,0.2885437,0.23374939,0.1564188,0.02633667
1.2544785,0.20371246,0.48342896,0.39816284,0.328022,0.019332886,0.06855011,0.13624191,0.12898827,0.3367653
0.8115845,0.61828613,0.16371155,0.27374077,0.27396774,0.2076912,0.05000305,0.06227112,0.1133728,0.36768723
0.17285919,0.69686127,0.34622955,0.14953232,0.6790581,0.21388626,0.3941803,0.22923279,0.046689987,0.122306824
0.37104034,0.08570099,0.7071228,0.09550285,0.65187454,0.12716293,0.11508179,0.13927841,0.037302017,0.05399704
0.2587204,0.54358673,0.11501312,0.28147507,0.36641312,0.58540726,0.18787384,0.19493866,0.1894474,0.032154083
0.39704895,0.5620651,0.5341644,0.25223923,0.4606781,0.019226074,0.31461334,0.12033844,0.16000366,0.15650558
0.4909439,0.45022583,0.5738983,0.098810196,0.524971,0.037044525,0.13868713,0.039432526,0.02305317,0.029226303
0.8783035,0.08655548,0.34654236,0.42816544,0.32553864,0.30421066,0.5928192,0.3130455,0.020591736,0.6775398
0.9917679,0.046546936,1.4494019,0.45046616,0.4686737,0.23477554,0.6073837,0.33511734,0.11234665,0.24831009
0.33965302,0.6917801,0.07808685,0.0264225,0.26420212,0.09566498,0.15995789,0.12978363,0.12812805,0.027370453
1.4815598,1.1716919,0.27077484,0.52493286,0.31288528,0.053398132,0.62319183,0.37610626,0.015928268,0.48111343
0.24784851,0.25029755,0.4237213,0.25056076,0.22909546,0.4510765,0.66399384,0.4469719,0.114141464,0.24972534
0.8120651,0.5659332,0.049453735,0.07369995,0.038448334,0.06729126,0.30299377,0.13679123,0.06291771,0.034626007
1.4084702,1.2693024,0.43933868,0.6283684,0.78559494,0.21671677,0.43795013,0.2696991,0.04549408,0.3967018
1.2549133,0.32700348,0.13072205,0.121910095,0.015769958,0.10949707,0.078315735,0.083480835,0.25448608,0.09973526
0.80083466,0.029266357,0.64572906,0.21730614,0.43535995,0.13075256,0.2290802,0.12469864,0.31248474,0.20091248
0.22098541,0.3175354,0.3535614,0.1371193,0.5740471,0.24328613,0.72541046,0.36427307,0.05466461,0.20298767
0.02545929,0.31768036,0.36666107,0.023025513,0.85710526,0.26527786,0.74876404,0.45378494,0.01099205,0.19358826
0.7573776,0.18362427,0.39032745,0.30883217,0.06414032,0.18027878,0.42434692,0.2604599,0.16869736,0.33488846
1.0391998,1.0003128,0.03679657,0.21425629,0.37636948,0.04763031,0.22351074,0.1813736,0.04606247,0.21767044
0.44319153,0.3722458,0.24736786,0.063783646,0.028064728,0.023983002,0.095710754,0.044887543,0.025679588,0.1398983
0.0765152,1.0406876,0.3089218,0.15096664,0.4794922,0.13867188,0.114723206,0.07442474,0.21792412,0.06667328
1.2021484,0.3477707,0.0729599,0.07616615,0.22198486,0.03242874,0.04802704,0.04588318,0.0037288666,0.053833008
0.28233337,0.2696228,0.23371887,0.20968246,0.06417847,0.08195114,0.58786774,0.27368546,0.013812065,0.02539444
0.87098694,0.8907471,1.4827499,0.18510437,0.14376831,0.14348221,0.056015015,0.0295372,0.31871986,0.023151398
0.46250153,0.027038574,0.1584549,0.07435036,0.090213776,0.06909561,0.16038513,0.0050468445,0.02510643,0.010948181
0.13807678,0.093551636,0.12870026,0.14852142,0.28198624,0.13941193,0.19208527,0.113643646,0.26883316,0.07862854
1.0020523,0.35894012,0.006477356,0.39842033,0.0760231,0.2181549,0.48394775,0.29566193,0.21813774,0.27735138
0.18727112,0.40894318,0.50019073,0.012126923,0.5112648,0.3610077,0.00090026855,0.052734375,0.10095596,0.02413559
0.54818726,0.15087128,0.11513519,0.15357399,1.0508232,0.034980774,0.36296082,0.041599274,0.31482697,0.19692612
0.3655243,0.024307251,0.32595825,0.07500839,0.16020203,0.12244415,0.070762634,0.10087967,0.098630905,0.3695488
0.037979126,0.009376526,0.6926651,0.08061981,0.8415146,0.28208923,0.18856049,0.21370316,0.084228516,0.011844635
0.49791718,0.3662567,0.23607635,0.06383896,0.122608185,0.00674057,0.11727142,0.12468338,0.025485992,0.11447525
0.16104126,0.9421921,0.049118042,0.179533,0.09221649,0.61693954,0.82629395,0.39361954,0.21967888,0.25956917
0.9011688,0.7458801,0.2709198,0.09762001,0.70448303,0.3565445,0.17246246,0.15069199,0.013502121,0.14267159
0.15310669,0.18848419,0.119262695,0.011154175,0.22314835,0.0010185242,0.23086548,0.084804535,0.07526779,0.03791046
0.2399826,0.23455048,0.10360718,0.12712479,0.53583145,0.13240433,0.28472137,0.15682602,0.05606842,0.1880951
0.4838028,0.31747437,0.2733841,0.5135479,0.42744446,0.049598694,0.3074646,0.15475464,0.028318405,0.40624237
0.11550903,0.40950775,0.73477936,0.3065853,0.82330704,0.24122238,0.10836029,0.16254425,0.19270897,0.121902466
0.10057831,0.11759186,0.10404968,0.19592857,0.20528412,0.03924179,0.3871231,0.21107101,0.034451485,0.11500168
1.3276901,1.0856781,0.26935577,0.37472153,0.11008835,0.023666382,0.39343262,0.32395554,0.11986351,0.10848999
0.024513245,0.23309326,0.33687592,0.25206757,0.1853714,0.474411,0.33666992,0.24474335,0.10867882,0.04937935
0.109573364,0.7343445,0.86019135,0.30878448,0.063194275,0.3102455,0.8593674,0.32325745,0.3869505,0.40630722
0.15428162,0.33847046,0.5694046,0.025568008,0.6768112,0.3463173,0.13516235,0.17517471,0.028198242,0.044483185
0.70710754,0.19261932,0.65753937,0.19266129,0.4759636,0.08243942,0.42674255,0.31287384,0.057468414,0.04666519
0.014801025,0.46115112,0.8224716,0.07142067,0.9139862,0.20634842,0.23166656,0.15373993,0.33288956,0.08393097
0.5914383,0.07142639,0.3159027,0.08772659,0.30982208,0.04497528,0.046203613,0.09316635,0.055006027,0.27902985
0.29496002,0.17436981,0.27472687,0.009700775,0.04459381,0.19187927,0.38116455,0.21367645,0.018562317,0.2265358
0.6990814,0.5837021,0.1913681,0.22167969,0.44023132,0.3345871,0.7214203,0.42255783,0.027090073,0.44763565
1.1715317,0.28012848,0.4859848,0.19153404,0.22960281,0.010478973,0.40223694,0.20254517,0.32261467,0.03050232
0.7291794,0.8481598,0.99676514,0.061359406,0.12874222,0.11935425,0.14924622,0.13517761,0.17819977,0.22341919
0.18241882,0.58023834,0.6745758,0.18437767,0.06672287,0.23236084,0.20939636,0.10775375,0.0659523,0.13383102
0.1273346,0.008552551,0.24687195,0.028917313,0.67523193,0.01607132,0.17103577,0.065963745,0.18780899,0.046772003
0.35472107,0.25735474,0.05290985,0.25416183,0.17188644,0.1504631,0.47177124,0.25157928,0.14189911,0.25785065
0.70365906,1.3785858,0.102386475,0.50117874,0.14867401,0.12930298,1.1098251,0.6004219,0.35225868,0.041801453
1.0043182,0.7058716,0.43730164,0.14199829,0.011165619,0.21728897,0.02911377,0.083854675,0.14579773,0.1422081
0.14698792,0.030448914,0.32904053,0.12586594,0.23143387,0.09063721,0.11013031,0.0640831,0.07341194,0.08297348
0.33461,0.390831,0.51555634,0.18820953,0.2387352,0.032417297,0.33328247,0.48785782,0.006959915,0.3045578
0.05770874,0.13606262,0.06702423,0.18105507,0.39207458,0.17295456,0.094581604,0.060646057,0.20990181,0.19708252
0.3865509,0.046707153,0.3837433,0.03596878,0.94652176,0.035892487,0.16719055,0.0105896,0.003911972,0.3334694
0.1059494,0.41687012,0.115470886,0.071323395,0.41295242,0.03312683,0.07254028,0.067611694,0.15634918,0.277359
0.15221405,0.3030548,0.5853195,0.50183296,0.4501686,0.3547516,0.44106293,0.37639618,0.34877586,0.44633484
0.34207153,0.6019516,0.4255829,0.36425972,0.79060745,0.18813705,0.37208557,0.12501907,0.015748978,0.049171448
