Chest,Waist,Pelvis,Bicep,Thigh,Shoulder to wrist,Leg,Calf,Wrist,Shoulder to shoulder
13.781677,6.774803,7.83165,3.0999565,0.38854218,4.8799324,3.9818497,2.130497,2.0827084,2.5879364
13.448402,10.046623,5.046646,4.209877,3.893814,3.7753487,2.6365433,3.068676,1.3120747,3.0172844
26.42051,23.905571,6.600868,9.457584,14.430317,3.3920822,4.9878464,0.31617737,3.9493628,2.8514328
24.15947,21.829414,5.151169,8.596596,12.516743,1.2236214,1.6715851,1.4615898,3.32975,2.2298012
17.155975,11.190468,6.9021072,6.7488556,10.905216,1.6471252,4.747246,1.0722351,1.4523563,1.2093887
15.775696,13.767128,3.7926102,6.5074997,11.626141,1.8001823,2.7091217,1.9798775,1.5260525,0.26720047
7.7568817,8.898933,15.701057,0.5783882,2.548317,7.3681984,0.6686859,3.298462,1.5414982,4.114887
20.500076,21.827362,16.546852,10.363134,11.90049,2.106041,10.782013,2.6266785,2.1876106,6.3743725
12.482147,13.436707,5.0319595,6.652113,8.253719,1.1257858,2.6899338,1.4123955,3.2705288,1.3128433
12.782211,13.707359,5.2004547,8.221264,12.048702,3.9283485,2.9529953,1.3950119,1.3402157,1.6035423
16.18399,15.424622,10.710991,8.804012,14.186855,3.1616478,5.2658844,2.4350662,2.0689926,1.9186287
6.8882446,10.4674225,31.139427,2.4753284,13.261932,12.131695,17.428322,13.735514,0.3155203,5.1824856
22.905197,11.596817,2.9676971,2.733593,0.05640793,1.456501,3.3630753,3.5341568,0.7156124,1.8670692
20.947685,9.33976,0.10800934,2.6394234,1.6996994,1.6868324,0.64183044,2.2402267,0.9629879,3.212494
12.404396,6.03331,4.010109,1.9034615,1.560669,5.2546997,9.879845,5.946953,1.6102505,1.7975311
14.285576,6.5938797,7.3597946,3.587864,1.4241486,6.435383,9.522957,6.0197372,1.5900822,2.2951508
16.974014,4.095253,5.1674957,3.6937065,3.32135,3.522728,3.2988968,2.4169922,1.1593513,0.854805
13.896736,3.6245193,6.5025024,2.6572495,1.9660835,5.1895027,7.3256073,4.4351616,1.039299,0.7786484
19.703888,4.161667,2.4049454,4.7391796,1.0973358,0.37269592,0.24437714,1.9260292,0.17155266,1.5579224
22.354172,14.509407,1.0918732,2.27602,0.1458664,1.6614456,6.068825,4.8350067,0.08948898,1.0867805
15.692116,6.8030777,3.9359207,3.9898758,0.56025314,4.424,7.058098,3.9787292,0.7037811,3.5398445
10.734589,3.5467987,1.2272568,3.3952942,1.1091042,3.817089,5.34523,3.2692413,0.75495243,0.6814766
2.535675,3.3773804,3.705696,0.13627434,1.9729996,1.4594917,0.5106354,5.7238655,0.70217323,0.31080627
3.7930527,1.6302948,20.89325,8.965843,11.8992,9.466179,8.241707,5.9918976,4.272003,1.9147568
12.250679,8.454483,1.184494,2.2199879,3.4012337,5.6264114,0.28165436,1.7934837,1.7848282,2.72752
12.429031,10.56781,5.0736694,3.6886597,1.2107315,8.557747,5.5960464,4.191719,0.9207878,4.0720825
16.504921,8.416603,14.304138,4.296734,7.145771,4.311985,4.2469254,3.1260605,0.82424164,1.956955
13.5431595,1.4828491,4.1510315,2.5903015,5.354843,0.26999283,14.775791,6.404604,1.4741096,2.6252403
9.203079,7.0036774,10.712425,5.2277985,5.76194,5.4678917,3.9009247,2.90559,0.96422195,1.7240295
10.041496,13.731453,1.5852051,3.936348,2.0461578,6.703232,0.61185455,1.3107605,1.0747261,3.8812141
6.91996,3.5963516,17.738129,2.2112522,4.944107,4.0486565,7.197563,3.7633057,2.5171375,0.9892082
5.363182,3.914833,13.668198,0.97036743,2.8412628,2.3308296,4.748375,1.9379921,0.98384094,2.5430279
8.03289,3.879097,11.812592,0.21734428,2.0832748,2.754799,1.5429916,0.6673355,2.178833,1.2886486
1.9932022,5.6022186,8.55455,1.4978046,1.0224876,0.36804962,3.0644455,1.6867981,1.4401722,1.1571083
5.243126,1.8129959,9.735596,0.4895649,0.038772583,5.7566223,5.7887344,3.2356415,2.0272484,2.25008
7.625046,2.743393,5.793152,2.6702747,2.5120125,1.2404175,5.041626,2.624817,1.3186016,1.46068
22.095497,7.3679657,16.718117,7.5432014,10.744286,4.310219,12.439487,8.37159,1.8117447,10.728472
12.951439,4.7715073,1.7643967,5.342098,8.1694145,1.8589325,5.277504,5.0789566,0.73441696,0.5194092
24.679909,15.825424,10.690033,9.68469,5.851673,5.260189,15.298241,3.3680534,1.5698986,7.4671745
26.423035,13.121025,8.858795,4.666321,2.9211464,6.021885,5.1736984,1.3230476,1.6138172,6.6515465
25.300888,19.81697,4.666855,7.3537903,0.9390907,4.4851723,3.0061111,1.4847488,1.8199978,9.789001
29.53875,23.529167,3.199852,5.2352333,2.982956,5.8927193,2.2336807,2.0667458,1.0392895,10.695583
22.289467,13.858421,7.501465,8.757313,8.61871,4.306534,17.41896,5.217804,1.1650314,2.2088928
24.133583,17.379402,9.642265,12.224304,13.93639,2.5932655,13.178917,3.0115242,4.1184816,3.063301
23.820694,11.291389,4.396431,6.167431,0.7908821,8.0390625,6.768059,0.9377022,1.9136581,3.4746628
26.725403,15.396797,14.7170105,12.775112,12.208073,12.453625,28.172718,10.385046,4.8915377,5.42284
20.857819,11.994934,0.5073242,4.051855,0.9026985,5.003296,3.0037918,2.9020424,1.4891396,10.501295
17.357635,7.2048264,4.842491,5.146862,4.4865417,3.0652885,4.365761,2.3100815,1.5876637,7.805895
2.7017365,0.9552765,21.063667,1.1389198,4.5387383,9.496712,12.550735,7.0128136,0.3922987,4.4174576
18.974388,6.176773,6.6338654,2.6191425,0.037052155,4.0593185,2.9605484,5.656975,1.9602184,1.3569183
18.974388,6.176773,6.6338654,2.6191425,0.037052155,4.0593185,2.9605484,5.656975,1.9602184,1.3569183
27.361145,17.03059,7.7434998,2.7697067,2.9645805,4.4793854,5.056961,6.3515015,1.4310551,4.676903
24.178787,14.602097,9.351601,2.4575882,2.912716,2.7383766,4.142784,6.0415306,0.65428925,3.0377998
20.36287,10.777031,3.8080826,3.0617638,3.4906654,0.89899445,1.2147064,4.2616844,1.34371,1.0844383
22.57325,14.713623,2.0567322,3.414194,3.0970383,0.57865906,1.1672668,4.2576103,0.7854557,0.39453888
26.45192,16.400963,5.633728,5.586252,7.048851,1.9346771,2.884674,4.7065125,1.6723871,3.4909134
20.184036,13.552704,4.128647,3.1458187,4.735508,5.2936363,0.3488922,3.7670898,1.2155037,1.8549805
15.912491,8.98616,7.5912323,1.6166782,2.5807114,4.642277,3.0536804,5.3622284,0.26701164,2.383461
24.86164,19.333458,1.9534836,4.4728107,5.98629,3.5073395,1.4016113,2.9945145,0.349041,2.7906723
26.298683,14.219559,5.6072693,3.3411674,3.6417618,3.2509232,1.0978394,4.436432,0.80400085,3.5030136
21.547142,13.776794,1.9781418,2.832943,2.6306953,0.20804596,0.34912872,4.2592545,0.28554916,2.0341454
17.658546,6.1876373,3.931755,3.551733,2.8391228,0.5293007,0.5086975,3.5062256,1.9283276,0.21375656
18.617401,12.382843,0.45840454,4.2487087,5.4118347,1.2902985,0.36380005,3.7910233,1.716322,1.5866737
18.384094,7.7459793,3.09198,2.729288,3.2154388,1.6359787,0.3885193,4.3767853,0.6291504,0.30758667
3.5695877,7.1685944,9.078102,1.0504379,1.3273582,8.476105,0.502388,2.5576248,1.0607395,2.049099
17.190765,12.691895,0.10992432,1.3821964,2.059063,1.6139717,2.9050522,0.6381645,1.4547558,0.03255081
7.8595123,13.436325,8.066635,0.9222603,0.5798073,6.0210075,6.685295,4.170864,0.22470856,1.7418442
4.8717117,0.11444855,8.678093,1.9563351,1.0272408,7.47892,5.0633163,7.9848976,3.0325565,6.7002563
10.276154,6.176903,9.695427,2.6266766,2.1169357,3.5964546,6.380638,8.393112,1.8756771,3.000225
1.3005066,5.5093,10.028267,5.2858524,11.32365,6.487381,13.099442,0.98997116,0.5837412,3.4680424
12.057709,11.678253,0.69055176,5.250782,8.409561,0.58908844,2.6670685,5.3109436,2.0147848,0.2841797
13.827721,7.2224045,5.0390854,4.894926,4.643406,3.5832405,1.1341934,4.9740562,1.9988842,3.2707329
12.381706,9.412727,6.9207764,4.427782,5.8164635,4.3939896,1.9538193,6.771435,1.4583092,2.6806946
3.710472,0.9766617,19.470184,1.6792965,0.26031876,7.79274,7.319519,8.654392,2.6936674,1.8172493
8.22715,1.1219177,23.926926,0.54730797,2.5669632,5.7794495,11.330154,10.525768,1.1813784,3.7160835
0.13005829,4.2667007,21.733025,0.91735077,1.6510963,8.809605,12.277748,11.361061,1.7763166,0.0777359
4.0567017,9.951492,16.979965,0.81345177,5.304165,4.416649,5.7062683,7.3749847,0.15295792,4.0612793
0.24584198,7.378746,18.125046,5.8542175,7.651642,11.166122,8.521645,10.382565,3.8324318,6.82765
6.977867,5.7373962,11.009964,2.7238464,1.6356316,4.9581833,3.4395523,2.9907913,1.5964575,8.350222
7.359352,5.245056,7.5964584,4.2588654,4.1509857,3.8314247,0.13776398,4.882168,4.456538,1.0133896
10.659348,6.8421173,0.18172455,0.5994129,2.0941734,4.931225,8.324669,1.6423912,0.81694317,3.94549
13.907333,6.5729294,9.521004,3.845995,2.1965294,5.625839,2.8042145,5.9199905,2.0133371,1.7100983
15.093132,8.172455,6.345833,5.655594,7.0541496,2.7763634,1.4415283,2.4234695,2.9581718,0.3082199
10.936401,16.227486,2.1300278,4.357649,2.2945137,3.3556137,0.86898804,4.9571724,0.23964119,5.3382626
8.755295,11.480186,0.15148926,3.163416,4.295887,2.6605034,1.9692383,4.804367,0.18669128,0.91482544
10.015076,9.093147,11.159691,2.6961174,0.4839363,1.1345291,8.983841,9.6850815,1.658514,0.5318222
21.15136,23.38713,8.813774,0.27643776,3.71455,6.1183815,7.7384186,0.07152176,0.037679672,2.5420952
9.124619,4.705559,2.9102325,0.05568695,4.202656,5.3147354,4.364311,4.299633,1.7697201,1.542736
13.532494,4.970131,3.951622,2.0392933,0.2579651,5.619171,0.45587158,2.7296066,1.7306519,1.3580971
28.126259,29.788643,0.78038025,5.795868,5.6465073,5.354683,2.7780685,4.9561234,1.3315258,0.580513
19.374344,23.083206,1.8859634,5.5314083,6.038418,3.482399,2.0456848,5.6456604,1.1430588,2.5577698
24.243553,28.853004,4.6960526,4.5992203,0.34785843,1.2573738,3.8944244,8.973576,0.22172165,1.4694061
17.932213,11.238068,5.7324295,1.9592438,0.3531685,1.5384254,0.4735031,5.2457657,0.40431786,0.66866684
11.82576,7.5787354,7.505394,2.2336597,0.09037399,2.8948479,1.1301498,5.5272713,0.8084831,0.87067413
