Chest,Waist,Pelvis,Bicep,Thigh,Shoulder to wrist,Leg,Calf,Wrist,Shoulder to shoulder
0.8825073,0.08150482,0.9007263,0.10367203,0.83561707,0.3668747,0.4536972,0.28896713,0.20018387,143.71512
0.41312408,0.58732605,0.8428726,0.07422066,0.19108582,0.32452393,0.032310486,0.012794495,0.054468155,146.2246
0.23148346,0.57611084,0.5910034,0.06995773,1.1888161,0.12887573,0.14356232,0.05596161,0.0063648224,131.2987
0.22249603,0.54193115,0.010040283,0.16653824,0.15570831,0.031269073,0.37058258,0.16183472,0.030572891,149.3429
0.39364624,0.4949646,1.1099167,0.51078796,0.31705475,0.035079956,0.16607666,0.02243805,0.00522995,145.89194
15.733902,17.344444,6.291954,7.554178,10.164169,4.42358,7.9637527,3.406086,2.0514297,139.74124
17.276894,24.465172,15.977051,9.457848,13.469303,0.48214722,1.0489655,0.43074417,3.617508,158.37103
19.201805,25.940903,16.803444,8.984741,13.674648,1.0187607,1.3373489,0.4128914,3.524891,138.06064
5.0589905,7.363823,8.286171,1.3399887,1.8609772,5.9969406,12.673874,6.829029,0.22996235,131.04034
5.311096,6.5422516,4.657234,1.9589844,1.5192032,0.25807953,2.0991135,1.0677948,0.22296047,134.3349
19.06556,27.459984,11.031822,8.276686,7.7829514,8.306271,10.043625,6.9855537,4.4452524,166.05766
17.35614,20.145828,8.850868,5.7419796,5.4200516,5.758419,6.8443146,4.548046,2.8537579,134.49823
0.9654465,4.699089,0.4558258,0.0839138,0.6210861,5.4751167,12.386711,6.9873276,0.66168594,154.39658
5.8220596,7.436531,2.654892,0.3030796,1.8809586,4.526802,11.636963,6.303871,0.16725922,144.27411
15.403168,22.726997,6.778656,2.0045319,2.4148293,1.2517166,1.0145874,0.7171097,1.4897289,136.447
2.1725159,4.948448,14.576241,2.6360283,5.3085938,7.4575043,13.062935,7.126461,1.2379398,122.487236
3.351181,11.250229,10.601471,2.9387608,4.8119125,11.936001,20.58503,12.046154,2.1578007,159.92859
0.81433105,0.58973694,7.9920425,0.9665241,4.3227005,5.0076866,9.954048,5.5987015,0.49666595,142.98836
5.5143127,8.768814,1.8426132,1.037344,0.069374084,5.8926277,6.384041,4.2145424,1.0927792,121.33588
1.8769302,6.4141846,0.9372864,1.6046371,1.7674446,1.4173355,3.3875198,2.2546082,0.6271744,138.29132
